@relation SubsetSum

@attribute ArraySize numeric
@attribute Sum numeric
@attribute runtime numeric

@data
7564,21836,361551
9367,61393,406013
2849,48735,144761
2817,75317,55897
8007,3482,946757
5159,39558,210807
539,5064,14924
5475,11077,1440267
8703,11393,201801
64,42722,90785
4842,85760,857697
3956,11077,565475
4494,74051,457166
6076,41773,267150
159,63292,551050
412,1583,27454
1045,46836,420078
8576,94620,300747
5317,30697,429494
1710,75633,116091
222,9811,183770
5412,79431,1256232
6298,55380,517104
2627,78481,39297
6551,87025,1966193
9336,44621,154923
8165,47785,1008621
3007,23735,18078
7658,65507,858459
7089,29115,814157
7753,24368,294348
824,75633,1093063
5823,39558,274065
9399,24684,24951
7026,14558,1307363
5380,71519,52015
2153,55064,21204
9209,38608,151561
4178,44937,357539
6235,80696,117026
2153,43988,192958
5855,47785,105925
8196,55064,325248
6171,85443,283173
5602,32279,305686
5001,50633,303474
2089,15191,24095
6076,70570,470954
4051,47785,43664
9462,85443,302391
2722,65190,793152
4241,97785,640351
5886,29115,88678
9241,56330,873400
3956,19938,24317
2975,6330,757512
6203,77532,88477
4494,40190,1891987
8829,84494,51427
8228,2533,71916
9051,72785,196086
6741,23418,762175
1140,13925,2430916
2437,16773,10487
9937,4431,52152
5190,20570,236316
9051,80380,100915
9367,49684,291592
6709,80696,1333185
6424,92722,135166
1235,78165,24133
2722,31330,531278
9430,27849,205078
3545,41773,456936
1,73418,183
6519,24368,11542
4874,60127,887149
7943,25634,126856
6393,3166,593108
4273,6647,802577
7152,91772,2795802
8766,42722,33707
634,95570,133946
33,54747,15743
9525,47785,242095
9968,74684,64576
4684,45887,137098
1172,59178,60125
8671,76266,64462
7437,57912,10774
9367,65190,271651
5823,7279,624748
919,57912,25743
887,31013,140106
9842,62975,578043
9304,47785,289881
5127,26267,598970
4020,8229,50410
5222,63608,178026
4937,40190,1626791
8513,94620,2007355
4937,64557,748110
7247,94937,96280
1108,87025,103971
4811,39874,15909
6836,61076,46748
7310,70886,55818
2469,10760,272568
1077,88924,656065
7342,25634,259257
2501,71836,367966
4779,61076,318820
2248,7279,933833
9051,32912,163003
1583,50950,64978
7089,44937,224003
6393,56013,255888
64,76266,20781
5665,68988,376770
3608,72152,206477
7500,25950,54925
6298,84494,542963
5095,60443,129870
1963,73102,463236
9177,99684,1400031
729,6647,255167
9399,79114,464884
6614,77532,67175
6424,90190,126380
8987,62659,58794
9304,1,33465
9209,82912,36773
6108,17089,111163
8133,95570,517613
3165,82595,27871
6646,87342,292671
2501,52849,324603
3323,63608,998113
3292,93354,597547
2248,80063,453446
2058,25950,565935
2248,88291,472518
7279,4431,39565
5760,37342,285665
8450,42089,256634
8734,81329,476798
8987,93671,325031
1868,16773,70221
4874,61709,104201
317,81646,670314
1330,82912,295718
2786,43671,1359463
1678,41773,6075
5665,84177,2738692
9810,1267,76369
8734,92405,194987
5728,41140,828064
5285,55697,2439531
2311,96835,1974805
5222,83861,335097
5095,39241,312236
5760,24684,211943
4399,75000,69086
128,56962,40117
64,35760,47404
3355,39874,130074
4906,98418,24537
6076,41456,620809
8481,38292,279407
5190,75633,677647
8639,51583,8038
1994,58545,165547
760,7596,358546
6519,75633,1122440
7500,950,1330444
6551,10760,844926
128,76899,100930
191,49051,32221
7374,88608,204735
8355,53165,401763
1805,67722,1020189
3672,80380,27527
6171,59178,205315
6488,60760,282557
6962,71203,754399
9209,77848,454491
2722,10760,32551
2691,96519,649549
2311,68671,774278
1741,64241,456206
6203,83544,40164
5570,65823,49664
381,75000,309195
6140,72469,1661634
7469,11077,232128
7943,14241,52110
6298,33545,197961
8513,65507,225707
9968,50317,189099
9842,10444,107165
9494,26899,1401138
7469,18672,823613
1773,47785,303429
9399,18355,105118
444,75317,480821
2343,18988,1617121
5792,25001,316098
7848,32596,319549
444,29431,438435
9557,83861,330315
5633,85443,342544
4368,30064,33773
6045,5064,522525
2374,51266,19749
8418,74367,508047
5633,72152,145015
634,25950,603353
4684,95253,348029
6867,47469,861025
1931,37026,364146
2722,67089,307134
3070,73734,164366
8165,34811,213768
8386,84494,95677
6772,32279,412225
5570,55380,42075
6741,88291,181010
8133,54431,110045
1172,50950,212430
9842,35444,573641
7848,14874,27492
4399,55380,16594
9905,88924,845352
5064,17722,91126
4336,6330,310996
8829,48102,517757
9367,54114,78834
7469,950,278769
9557,6014,244638
8703,95886,682309
5981,40507,353706
9652,4748,526922
665,71836,30421
9019,32912,1817670
5064,634,97943
7943,6647,367797
1520,56646,124818
5886,64241,11288
1,65190,128
7152,4748,911621
7121,6330,191568
8671,47152,97306
3608,38925,536266
5001,31013,16012
3766,83861,100487
9430,92405,478982
6298,50950,1405910
8260,4115,955463
4241,13608,500842
9589,89557,738682
1868,49051,217024
5538,58861,233249
9051,96835,257836
8260,1583,220826
5823,34494,134291
6867,40823,197402
5254,6647,105191
8070,25001,84156
7121,29115,4680
8133,25634,552738
7152,75317,49503
8798,56330,665052
3988,86709,430678
4716,54114,172788
2121,36393,24374
887,22786,405699
4842,56646,381291
5095,16457,121891
4368,10444,1790779
1741,4115,234758
1077,85127,1196313
6045,89874,122618
5665,82595,2319815
4652,19938,328866
5886,75633,13729
7121,42406,3411105
7215,24684,400337
5823,950,68349
2184,62659,380807
2437,10444,421742
1140,77532,544487
950,18988,981304
3418,84177,184290
9779,53165,864176
4463,51899,495020
5127,82595,274555
4431,44621,117225
7943,93987,154048
9525,96203,240919
6361,98101,83341
9304,19938,31112
7184,87975,114090
2343,70253,185803
4684,33229,429645
5697,69304,82793
286,94620,1835338
1836,84494,112746
