@relation HistogramEquilization

@attribute ImageWidth numeric
@attribute ImageHeight numeric
@attribute runtime numeric

@data
5924,3815,2876643089
932,1390,112172070
3108,1078,298568853
4324,296,97306307
2724,2954,834228239
3940,2133,855988452
4324,1860,919201660
1124,804,76822850
3492,726,254447785
5988,3384,2298420479
228,3267,49638537
996,1390,107251191
3620,217,49982316
4836,3111,1605694315
2084,1977,363757582
6308,491,263681061
4196,335,119803339
2724,2329,599357352
2340,3932,981000704
676,1938,102537191
612,452,18621857
996,1195,103836872
2148,1625,316175122
5924,3775,2460339716
2276,2094,421050167
4004,3150,1332795212
1572,3033,440370168
2468,2290,531341607
5028,2290,1229332672
4388,1664,748895148
548,2798,118989737
292,1351,24954266
804,2485,163457410
2724,2798,731221579
5540,139,59117398
2020,843,135847227
1316,3541,466249339
5988,1664,1002060540
3108,3658,1171399623
5988,3033,1992712715
5604,2524,1538705609
1956,3815,741849084
2788,2485,793297537
5604,1703,932407909
1124,3854,405589288
4196,3893,1773862289
1764,3580,594300940
3876,1703,634901091
2980,2055,579460817
3748,2329,852858760
932,2407,198887603
6116,2681,1786821928
1700,3619,603341272
3748,3971,1722155222
4004,1703,654395684
6372,3541,2490948171
3364,3697,1270231159
2916,921,229306622
6436,3267,2333197539
356,960,22285050
5028,335,139677101
5604,1273,667409127
4580,256,80504145
484,256,6554971
5540,1117,587060152
1252,2290,256302139
1444,843,101600056
3748,1234,420371663
2724,3580,981647186
1252,3228,365615057
2212,374,60017188
2020,608,101782130
5668,3541,2193163748
3620,608,174630854
6372,2759,1981922203
3620,2055,705987711
2980,2172,607990190
5540,1390,739139077
740,3424,212327213
2788,3971,1133885012
1508,2485,331669357
5924,217,89552975
6052,765,435268984
1700,2094,297279962
2724,1742,457754785
3172,1195,319205349
4772,3189,1625453700
1060,3619,336129336
3748,491,142916860
5028,2642,1403323276
5348,2055,1102347902
1380,3150,479425855
2020,296,41427410
4580,804,421008387
5860,999,519336540
5540,2016,1146925032
292,2407,48006795
804,3697,272724860
5156,999,486948897
5412,3658,2273403850
5988,3932,2624197314
1508,1273,155187943
4708,452,164324102
3940,2524,1001293831
5220,843,382436510
100,3189,19970852
3364,1625,494350823
1444,2133,274735450
2404,2954,648768570
3556,374,93951940
6052,1312,767275115
996,3228,311371409
5156,2172,1159782675
3300,3736,1272857471
1188,178,12086261
228,921,12712652
1700,3697,626613175
3492,1664,545984274
2340,3971,896688654
3620,1625,537260124
3876,3893,1609761680
4516,2798,1334577672
3748,1820,644941135
5796,3619,2441246117
3876,765,286691328
292,3033,64490551
3748,1664,610610796
4644,882,354593569
5284,452,190658481
4836,1312,586009204
3044,2094,578780897
228,413,5029394
4644,1469,615036592
2148,1508,285564423
6180,2485,1651730663
2980,1977,551976902
1124,335,26172822
4004,2016,787743573
