@relation FilterArray

@attribute ArraySize numeric
@attribute FilterKey numeric
@attribute runtime numeric

@data
58228,63924,539372
89241,67089,820800
92089,4430,998503
54430,25949,664576
30380,58544,513757
60759,94937,753647
25633,92089,340197
23418,16139,262377
31013,92722,462580
75949,35443,1007104
21203,46519,227318
29114,26582,273861
3165,75633,30067
50949,9177,538152
60759,62658,852461
87658,34810,872783
6646,3481,83272
75316,68354,952491
44620,26266,504844
10443,82278,128841
23734,14873,260053
84810,58544,808182
8861,63924,95347
49051,38608,486233
25949,34177,250551
39873,67722,368401
96203,47785,1242335
38291,97468,496239
17405,5380,266716
63291,66456,674036
62658,28797,570216
97468,22152,934325
70886,22152,739764
67089,27532,695783
71203,67722,924505
27532,73734,322795
66772,27215,1089907
62975,3165,676178
62342,20570,661287
98101,81646,881233
89557,1899,858548
31329,74051,286123
57911,99051,706035
70253,88924,716557
1266,10443,17972
89557,27215,1053418
6329,68671,72456
41139,52215,404429
93038,31646,2666891
80380,3797,862450
63924,27532,693224
1899,36709,32856
29114,89873,314754
40506,58228,480205
40190,69620,513106
13608,12975,135202
99684,96835,1043338
9810,57911,92247
19620,7595,215279
58861,40190,573293
40506,12025,599792
86709,41139,840789
56962,93354,575185
88608,50633,945846
59494,6329,538944
47152,8861,496538
28797,633,258597
9810,12658,91200
50316,79747,504105
66772,69937,738809
54430,80696,507910
73734,96519,920133
52215,90823,570934
71203,14557,727015
18354,36076,168701
78797,23101,743329
28797,75949,262900
69304,98101,626284
49367,14557,497722
52532,32595,604734
24684,1266,249417
42722,19620,469088
17405,8228,169754
93671,41772,905116
38924,80063,402018
76266,30696,724350
61076,29430,545668
12342,58861,112644
29114,95253,263693
34810,17089,322835
55380,42405,556318
5380,12975,52574
53481,91456,544822
96835,36076,890271
98418,9810,1122192
37975,51899,430933
90823,14241,852795
93038,62342,1152553
54430,633,696366
47785,3481,486788
71835,97785,657341
25949,13924,233739
46519,51899,417867
3481,97468,33981
69937,95570,630826
42089,62025,382864
4114,67405,39154
81962,75316,797023
71519,49684,685696
72152,23101,729627
68671,27532,819261
97785,63291,901170
88608,39557,820677
31962,99684,287779
2215,316,22473
52215,76899,467972
52215,76266,528137
26582,33861,260644
86076,33861,812804
7278,50949,70642
84177,46203,759867
17722,3165,161328
75316,94304,686746
90506,95570,833952
54114,92405,1050930
79747,2215,728386
42405,0,383527
11076,59810,102043
633,53165,7027
24367,17089,221278
14241,98418,131396
43671,24051,393970
8861,85127,81988
63924,11709,569985
27532,19304,484366
84494,11709,1424299
79747,92089,838973
98734,79430,912858
13924,84177,129657
38291,88608,344401
87975,72785,797036
94304,26899,870395
61709,15190,553056
6329,65823,59216
9494,99051,86382
78797,16772,721283
80063,64241,770766
93038,24684,840287
12025,93354,111564
20886,6329,189943
91139,42089,888576
25949,10443,239110
93671,25949,864451
65506,50316,625743
49367,27848,446411
22468,35443,204233
85127,66456,848703
53797,74684,616201
55063,72468,537039
83228,27215,848111
49684,68038,615112
91772,35127,864636
74051,93987,895050
2215,29747,48993
51582,69937,621214
23101,25000,233910
37342,93354,403190
7911,13608,81607
79430,34810,737308
37975,31962,495706
88924,4430,1090934
21835,11076,225331
25316,77532,251192
13924,55696,163161
84494,44304,775553
90190,19304,838285
78797,8861,795795
66772,51899,852175
45886,949,664733
65506,83228,642960
97468,8544,1017350
54430,84810,729972
15823,83228,190777
75000,633,733430
56646,36076,711639
18038,70253,358245
43671,63291,474186
33544,42405,337973
77532,74051,973959
92722,80063,975409
74367,65506,953621
4114,61392,59382
85443,45886,974220
37342,73101,417410
72785,43987,848921
50000,76266,613015
97468,50316,961349
82911,37658,1071318
9810,41139,151003
21519,94304,246729
55063,28481,557142
46835,32911,423190
73101,3797,928342
35127,24051,406092
39241,75316,431138
94304,2848,1091900
34177,77848,411474
62658,24684,697345
25633,87658,325996
19937,14873,215110
53481,21519,513143
32595,31013,333904
26266,24051,286166
96835,67089,1287736
82595,41139,890433
55696,17405,549590
20253,57278,185566
22785,23101,385635
3481,949,82770
86709,1899,1000924
34177,89557,344459
99367,39873,1050841
24684,26266,248465
38291,88291,565328
38291,40506,433151
18038,53165,242747
23734,95886,237920
7911,54430,73253
55696,70570,540945
70570,53797,659661
95886,33228,925776
9810,61392,143644
80696,82595,803678
76582,76582,850063
49684,1266,550422
98101,93038,1117914
14557,40823,142395
41772,73101,407787
69937,53797,676565
81013,87975,851342
79430,43354,1086802
29114,97785,352267
37342,14557,492068
8861,26582,165437
9494,30380,127440
57911,3165,730739
33228,50316,315285
78797,78797,977775
55063,99684,724602
71519,57595,653645
10127,3165,93552
68354,96203,617749
0,51899,1824
86392,57595,797617
94937,14873,1025820
19937,52532,204828
88924,67405,1158879
63291,84810,612295
16456,36709,169195
19620,95570,189367
35443,63924,592756
32595,1266,378303
23734,29430,235920
89241,80696,946985
58861,56013,538479
21519,9177,198479
32911,67405,346667
92405,24684,1131477
80063,44620,808626
5380,69937,56369
34810,86076,350226
89873,94304,931021
69620,89557,814892
56962,87658,561874
21835,87342,327081
60759,82278,589376
62975,90190,678789
73418,93354,902623
73734,59494,816073
52848,81329,687002
45570,60443,644467
0,15823,12510
63924,30380,792844
87975,95570,1113195
56329,15190,559371
16456,58544,226936
88291,86076,947477
97785,99684,967662
61392,86392,667119
25633,43038,344861
43038,633,612618
32278,82911,558801
56013,1582,734180
81013,80696,847286
70253,57911,868529
87975,66456,1093496
15823,80696,161486
18038,54747,175341
67089,50633,661768
10443,71519,104567
84177,48101,863522
95886,12342,953849
40190,1582,395587
26266,54430,261727
47785,64241,464405
18671,98418,184348
81013,62975,798111
2215,86076,25172
55696,62975,809727
83544,35127,1070077
93671,94304,1304156
37658,75000,603703
36076,72152,998359
72785,46519,1015428
98418,43354,1058956
52532,45570,587995
97152,13924,1075631
64241,25316,884951
54114,89873,754618
51899,66772,592389
33228,81646,400974
73734,80696,920109
76899,39873,1026676
52215,52532,649150
56962,18354,620790
6962,22152,73277
95570,48101,1082339
4430,64873,48698
17405,19304,180770
77848,1266,757791
3797,18671,54048
34810,12975,430857
54114,8544,620078
31329,39241,338309
90506,62025,1072928
5063,19304,91486
12342,13924,152017
11709,46835,150954
37342,66772,478361
77532,20886,894752
8228,49367,91343
21203,56962,206557
51899,59810,518469
25633,40823,253265
74367,81013,758082
18671,16772,195139
55380,97152,760615
20886,56962,269439
40190,34177,529994
19620,69620,228767
2532,43354,36466
90506,44937,983001
58544,24051,654367
11392,59494,245675
76266,56013,779337
19937,17722,218320
74367,1582,905959
16772,92405,179716
50316,33861,631252
63608,96203,733341
39873,18038,627480
28797,78481,301246
70253,66772,1097706
22468,60443,301485
87025,7278,1158177
85443,949,950871
66139,19304,1009393
94937,36392,1021632
23734,45570,221184
59177,71835,583449
56329,72468,600521
77848,39557,918709
70253,28481,935877
46203,55696,464408
63924,32278,691658
9177,10443,93296
29747,42722,289263
27215,60127,263903
34494,16456,340179
17089,87975,171976
30696,60443,287632
71835,20886,690724
69620,76582,685421
54430,61076,1685469
6329,77848,98918
98101,72152,1153287
22468,67722,225453
87975,56962,1079155
40506,62975,370247
40506,49684,364804
27848,29114,248584
5063,56013,46908
54747,23101,628387
4114,19937,39258
633,66139,6888
50316,74684,451256
62342,27848,1169427
83228,93671,840998
72152,37342,660612
40506,25000,429058
83861,69937,863022
56962,99051,590214
20253,95570,185679
85759,98418,772224
30063,16139,270878
57595,90506,522986
69937,12658,753558
76582,45886,701738
78165,7595,705742
51266,30696,472524
33861,7911,316541
90190,66772,823641
45886,6646,413131
94304,33228,850908
13924,17722,126485
57595,62342,543510
