@relation RGBFilter

@attribute ImageWidth numeric
@attribute ImageHeight numeric
@attribute runtime numeric

@data
1380,2446,439000009
4708,139,22536966
1956,3580,320249201
484,3150,50621581
1892,765,47710991
868,2211,72311483
868,413,22011456
2916,3736,455422730
1252,3775,147720213
1252,1469,67017323
1316,3424,150662835
5924,1742,458675475
4196,1938,282373421
3236,726,83202555
3620,1742,187961458
740,3619,82986907
2212,1234,83039857
3940,3971,677545869
5668,3736,866404600
2724,256,24424472
1764,2016,106737468
4068,296,35409106
548,3033,51639232
3876,3893,583522314
4388,3345,506057408
3108,3775,352637512
3748,2055,238914263
2340,2563,189859290
3684,2290,250852486
2788,3463,305020900
1124,335,11023395
1444,2133,105014471
2724,1508,121882727
5284,2720,473613801
5668,3541,637414764
3364,3658,384878278
5412,3854,659895475
1316,491,19688225
4324,1117,152370024
100,3697,10685915
5668,3150,556405943
4836,1312,194988064
164,3345,16011056
164,1820,8711405
2212,1781,172748539
932,2485,98368520
5156,335,54294838
5348,1977,333380604
2212,3775,260239449
6372,178,34820876
740,1860,47569343
356,3775,43294782
420,3345,44412537
4516,3306,487109158
3108,3345,398072735
6372,843,160322271
3044,3267,320544670
356,2016,23119187
1764,687,35947278
4772,3697,550223852
3172,491,47402228
3492,1234,147672943
4516,3033,469374058
2596,3384,296112435
4132,687,87510135
3812,3384,402382534
4900,2290,366593560
2148,2954,194387573
484,2290,36371725
1956,452,27357378
548,452,7553829
4068,2563,408505132
2724,335,31668137
3108,3736,370344147
3492,413,46572958
3236,3345,333389074
1764,1742,104762686
1892,2915,166721336
4836,1156,212102829
2468,3893,310803974
1188,1899,78644025
5348,3541,580718148
1124,2602,93201673
5284,2251,413943124
3428,2133,224934944
4644,2251,325055960
3492,2485,271997339
2148,3971,261726090
6052,491,99180697
5220,413,68153301
2212,1899,130221904
3940,1703,205659444
1508,3072,143444934
4324,1703,249014526
1828,1273,76716243
4196,1820,258202259
484,2368,36748336
4068,2837,406686164
420,1508,24041093
292,687,6502974
292,1195,10006875
5924,1469,288309354
4772,2563,397793891
420,960,17445726
4516,1860,305034930
4772,1781,296137557
5668,296,48939402
4004,765,99276490
5668,1977,362489042
292,3658,37634850
2404,2133,271036775
868,3228,96408977
1764,1703,106240039
1124,3932,180471534
5220,2016,423592550
4004,2798,1403597818
868,3384,116504366
4068,3697,637222948
4260,2329,336977557
2660,3815,389844576
4900,217,41133588
3428,3658,455991165
3684,608,81572081
3748,3502,470783034
100,1508,5740097
5988,3111,1082188421
5924,2172,553563563
2468,1195,133044386
484,1586,30147270
3108,2563,281370545
484,3502,73334047
4964,2172,465167808
6308,100,25794230
2404,726,56900445
292,2211,21689687
932,3072,134296782
1252,2055,85294310
6436,1586,346213622
4516,2837,400930800
2788,3228,277659552
676,3267,68273349
2212,1742,121484270
5988,1742,326384044
2980,1078,97430085
1444,2016,93023655
1316,2915,124426349
4004,1625,196020231
1188,1938,100198642
164,2407,20071668
1188,1703,71740779
2276,1860,306909926
6244,2133,458413371
2724,1781,180745880
1188,2993,141390877
3044,3658,364827273
4836,1038,158283126
1764,530,42502699
4900,804,165514892
228,2055,16687833
5220,1429,276415941
4388,1038,163432840
5540,2329,634473542
1188,413,14109529
1380,3267,142327818
3748,374,45220868
6372,3189,779377860
3236,3150,314392005
1060,1195,38467430
4196,2837,382555257
4068,2094,266624291
1188,374,14717647
4836,921,147539348
1508,3932,194570729
804,2915,75738173
4452,687,91001172
3236,2094,204106068
292,1625,19643758
3748,1664,200054554
5988,2720,504934612
4004,804,131722614
548,3306,59585654
2212,178,11205804
3876,3111,375913942
5860,1273,302155037
932,3502,130293121
4132,2290,297073793
4644,960,153906519
3812,2251,271578755
2468,139,11018749
100,687,1993990
5732,1625,296791682
1956,413,27205536
1444,1703,75294235
1764,2993,165865801
100,3384,13023643
5668,2094,377843536
1252,3854,151833014
3812,2876,349781691
4132,1351,170983829
3236,765,76922993
5412,2876,510878086
228,2915,20438840
1636,647,32497532
6052,3111,629693565
4068,178,25223209
4388,296,40705488
4772,1899,287447124
3748,2329,293717688
2340,569,44796805
1636,2798,141274545
6180,1312,278782098
2020,1469,87878121
4068,2681,375673639
6116,1703,333485366
1316,2329,94042579
4388,335,45587551
2084,2642,177070692
5860,1860,452689764
4068,2485,317486167
3620,2642,322352092
4516,3189,460623549
1316,765,29044088
5092,1078,221044598
5540,3424,623304674
1124,999,35023002
1572,687,35237771
1124,2837,101775697
5220,3267,533227807
1124,3815,126452034
4516,1586,225102493
164,2681,17589022
5156,3189,604152903
2468,1508,115273329
5860,2876,673004315
4452,2720,369358574
2468,2485,190156489
1444,3267,144440005
228,2993,21735933
2724,3775,378787474
3940,3619,461321328
4772,843,178897710
3108,1234,120410207
1700,3932,207986302
5412,2172,360625554
5028,3971,669778346
3044,2211,218380399
1252,882,32230354
4132,3775,521000451
4196,2563,338951358
3620,726,78018785
1700,2329,134555196
164,1938,10245638
1956,100,5436928
6180,3619,746214430
4516,1156,160137489
5604,1664,291700436
1252,608,22194870
4196,1625,209376599
4516,687,95156912
356,2172,23260153
5028,256,42501325
3876,999,120037086
5028,3306,628385719
1444,491,25448918
932,2055,61863439
1124,3736,131626829
1188,3228,164149754
740,2681,60965075
5924,2446,462749272
4708,2446,411711910
4132,1038,144826641
3300,1977,204013651
2532,3971,330599365
996,608,19283057
6372,2094,481726712
1956,999,82686345
804,2485,60779414
4196,3775,536677424
292,3189,29284059
1892,1429,81194921
6372,804,162019678
5988,1977,463689918
4580,3854,552415039
3748,2602,313941037
5220,2642,424750093
6308,1469,283350930
2660,374,30042995
5220,2954,488199139
2404,2290,172289226
1380,3072,144095551
2020,726,51038393
676,530,11796664
3812,2759,342389796
420,1273,16634031
2980,1508,151073474
3364,3463,402790435
5220,139,22150710
5860,2446,586869164
2148,413,28414484
4836,765,113516425
804,3619,88833943
292,2681,24366124
4644,2915,431192162
4388,726,96092375
2148,608,42735650
5796,1038,192143881
164,1586,7733371
