@relation RSAEncryption

@attribute StringLength numeric
@attribute KeySizeExponent(2^x) numeric
@attribute runtime numeric

@data
20,9,68153
12,10,209933
19,10,147879
12,11,555116
23,10,159333
29,10,185388
9,10,172266
9,10,170807
20,10,169865
3,10,172952
15,10,138341
4,11,624308
2,10,174864
30,10,182323
22,10,174452
2,9,69754
8,10,143778
3,10,162669
2,10,173949
0,9,137096
23,10,165487
22,9,150252
17,11,335082
23,10,206019
20,11,384084
8,9,74150
18,9,81559
5,10,134384
16,9,77383
18,10,158983
2,10,175315
17,9,79526
22,9,65459
3,9,84341
14,10,134650
9,10,134823
10,10,131443
17,9,87829
17,11,330710
9,10,162219
24,10,174840
4,9,69830
5,9,66362
26,9,74683
18,10,173123
10,10,152273
12,10,175164
2,11,352656
15,10,192978
29,11,337435
20,10,163665
14,10,171353
27,11,332659
22,9,77399
24,10,145444
26,10,174263
12,10,184236
20,10,171108
2,9,79133
4,10,138011
20,10,172552
4,9,95711
6,9,104467
9,10,182804
15,9,93686
0,10,176836
17,9,76228
17,10,170496
11,10,147970
25,10,174121
2,10,177325
6,9,69372
10,10,177794
13,9,87382
12,10,147648
6,10,172458
15,9,124477
18,11,339937
3,9,75088
5,9,90904
6,10,187203
17,9,127841
7,11,337045
12,10,141706
7,11,390120
27,10,170419
6,10,208516
11,9,112596
27,9,147255
12,9,70553
25,10,178260
1,10,178357
16,9,115763
19,10,205169
16,10,186339
1,9,163901
22,10,245455
18,10,182040
26,10,188861
24,11,361109
11,9,139885
2,11,359469
16,10,168342
18,10,143717
12,10,135173
14,11,337523
25,10,217206
6,11,589992
16,11,337168
22,10,167343
1,10,144361
27,9,86255
2,9,154332
26,10,160735
11,9,66536
24,10,162043
19,10,173342
16,10,324393
12,10,171789
19,10,196566
13,10,176584
5,11,675298
24,9,84716
26,10,278087
9,10,176856
19,10,144913
5,10,133800
17,11,439409
6,10,189669
21,11,350560
6,11,335176
15,11,331412
15,10,216163
19,10,191936
23,10,163058
20,9,73317
9,11,333501
19,11,330165
1,10,163697
21,11,353342
8,9,132906
28,10,166363
29,11,323581
21,10,163557
6,10,154185
14,10,151024
8,10,135314
28,10,142073
9,10,277128
17,11,336533
8,9,85450
3,11,335963
18,10,204572
7,9,111911
5,10,191343
17,10,158637
3,9,94935
29,11,322065
22,10,137663
24,10,288181
19,9,72809
