@relation RSADecryption

@attribute StringLength numeric
@attribute KeySizeExponent(2^x) numeric
@attribute runtime numeric

@data
21,11,7093617
7,11,7099093
1,11,7011823
27,9,327017
24,9,324696
3,11,7072815
6,9,334427
19,10,1304125
2,10,1309167
26,10,1383759
24,9,337595
8,10,1333690
18,10,1316247
19,11,6988028
16,10,1293715
25,10,1447512
1,11,7058895
24,11,6955656
10,11,7000415
22,11,7045603
20,9,330836
5,10,1305589
24,10,1350449
10,11,6981750
22,11,6985401
25,9,333122
20,10,1318578
17,10,1325958
5,10,1346249
23,10,1321630
13,10,1333629
23,11,7108253
0,10,1380045
8,9,335737
15,10,1333676
8,11,7065227
3,10,1337837
27,9,331742
21,9,329883
27,10,1306980
16,10,1876857
23,9,474279
19,10,2501220
18,10,1649140
28,10,1507685
19,10,1319327
1,10,1317332
1,10,1312695
30,10,1324469
8,10,1323976
22,10,1309753
0,10,1320838
23,10,1340359
27,10,1351770
19,9,330575
24,10,1345147
1,10,1304888
12,9,329594
4,9,327280
9,9,323873
9,10,1321346
28,10,1353504
23,9,323145
7,10,1327637
15,10,1352104
21,11,6983371
27,10,1300943
29,11,7719226
2,11,7031811
4,10,1354664
29,10,1321020
20,10,1306136
27,10,1289812
27,10,1328939
13,10,1313496
30,9,345377
6,9,332358
25,10,1319291
17,10,1302481
25,10,1295652
19,9,330745
0,9,323452
30,10,1431216
3,9,361419
17,9,376578
13,11,9478693
4,9,377658
15,11,6946781
28,11,7093841
9,10,1303387
22,9,341759
20,10,1321337
9,10,2787138
8,9,327840
10,9,319911
18,9,322450
22,10,1862441
7,9,334897
3,10,1323192
9,9,335943
2,9,383054
22,11,7048925
4,10,1316172
22,9,323835
25,11,7013230
13,9,326132
19,9,331395
15,10,1320959
25,11,6978271
5,9,325644
11,11,6982556
0,10,1309698
11,9,335761
19,9,323187
18,9,328327
13,10,1348733
23,10,2708704
8,11,7093517
17,10,1323930
9,10,1325911
16,10,1300492
7,9,329348
3,10,1371492
1,10,1317219
23,10,1327249
20,9,328580
21,10,1322678
30,9,320359
2,9,333809
0,9,331266
15,10,1323470
28,10,1302328
9,11,7223256
2,10,1347595
8,11,6940130
16,9,332891
20,9,326130
18,10,1483631
13,10,1344558
22,10,1406799
24,9,323186
23,10,1318370
11,11,7058957
12,11,6998914
21,11,7076339
15,10,1294623
1,10,1321241
25,10,1341802
1,11,7093290
6,10,1339609
20,11,6947505
24,9,329668
20,11,7002955
11,10,1303781
26,9,326154
9,10,1338695
18,10,1637694
22,9,332949
27,10,1318406
5,9,349680
25,10,1314271
13,9,335114
14,9,330989
4,10,1325902
14,10,1436621
26,10,1317232
13,11,7016754
2,9,326535
17,10,1355540
7,9,323314
13,10,1332324
10,11,9350984
16,10,1336221
21,9,328302
24,10,1340015
14,10,1306989
10,10,1332016
26,11,9681715
1,10,1306484
24,10,1338100
1,11,8656639
11,11,6990258
19,10,1318876
25,10,1319232
13,10,1310611
26,10,1342041
1,9,317318
22,9,332057
4,10,1331247
25,10,1303277
4,11,6926878
3,9,330936
11,11,6991875
12,9,335209
29,9,333704
29,10,1353098
21,10,1312310
11,10,1337957
27,10,1332348
2,9,341463
