@relation SortArray

@attribute ArraySize numeric
@attribute runtime numeric

@data
3852,240098
1075,58347
1526,85956
2680,163896
7738,537460
5267,337098
3026,181371
5488,352335
3135,187147
3229,197327
3659,231143
3260,548337
4835,386102
8516,725370
130,6714
6002,478567
4551,414616
9812,824000
1254,82629
8395,699817
4408,344553
1019,67043
8416,730024
3196,248613
154,8072
38,1827
3265,257662
4480,1504249
7671,1261481
8441,1414204
6459,698740
9706,2346146
1738,124622
5783,489335
385,23816
4403,355070
1283,91888
8664,1554670
6394,518876
5977,458767
9454,781573
3449,245198
8727,703254
7014,544331
6588,498289
6396,500370
1243,78177
7116,568793
8930,760903
1090,75768
3682,293095
1420,100597
493,31845
2645,204244
7964,841409
5229,429183
8661,743390
1966,144920
7413,636075
9325,816635
5473,671466
4561,534048
3042,229938
7399,617900
9596,824544
6662,562940
1681,120863
868,58427
4346,412002
2663,230573
9973,1120635
5478,448438
1510,101750
8689,687183
7177,569069
87,3955
4247,341851
6407,568519
1505,102240
8798,696332
5016,400069
5418,452099
3300,252882
8577,805515
6628,618367
6871,564946
7064,596101
5474,1023153
7906,1456747
9739,977151
4598,351261
2314,159976
8539,1264331
1040,70279
3869,321197
8228,684759
6911,567326
7018,561617
5539,543326
7934,675635
933,63233
6714,568428
9019,781797
59,2949
5464,446790
5788,510558
878,58457
8395,1670320
8153,704446
3217,249165
588,37572
2042,153684
7882,2539335
3065,304545
8813,729734
7441,627732
1433,112493
4731,384124
7059,590256
7122,595617
8630,746048
6941,688281
2464,187408
3763,299382
7915,3068422
5176,540602
9366,971715
7307,579440
8349,718605
3765,280490
3106,223252
8092,667438
7571,659231
345,23281
3231,253763
5676,467589
325,19923
2944,221245
5078,394432
8946,766496
9501,834799
3676,291045
6781,568202
5393,463972
9686,1864724
2415,216534
8131,678895
2131,155695
3957,308856
144,7082
9453,814779
2977,225042
3994,311388
5621,455383
2639,191126
7774,671147
2951,210250
1895,123239
9225,1184990
5233,483763
1927,141173
3265,252043
4641,380317
5161,421960
5810,490402
9578,835564
4647,363308
7603,631949
8582,785045
1087,75516
5608,469697
9351,808880
4658,377798
708,47921
7491,647861
5902,478117
9090,776770
1954,23783471
6596,65894078
1754,199998
2256,193725
6109,814021
1007,246331
6612,12405393
7870,1901558
8736,915049
394,22362
4656,383969
2960,323143
7954,755738
8003,716165
5013,452702
6021,2634437
970,722380
1378,91601
1805,153511
6845,5338528
2704,199039
1935,136240
9504,929527
5531,430238
6257,535479
1956,139444
202,10784
9267,767036
455,26933
4819,363316
7248,915884
8759,771447
8436,732894
1378,97289
1715,122908
5488,465476
4464,366042
5024,414956
3654,306882
503,31490
1752,164634
3215,255041
8265,1350096
6210,610847
6044,473757
766,51942
5147,393548
7227,602709
5552,6454190
7757,685094
2945,223340
254,12573
7847,697146
7441,671081
5687,466530
9098,864283
1776,122268
9461,826514
8276,783841
8378,742541
8030,669614
4942,386015
8229,679461
1768,118163
1240,80414
8390,710326
7805,6003259
6089,480094
6121,502970
4691,391033
7220,587253
2089,146604
8736,965967
421,27136
3316,1244573
7356,2833210
2328,936480
3776,293044
4883,399800
9998,837343
4235,523648
8063,686755
1238,86500
1589,106820
6069,483327
4129,318273
125,6014
9925,1136246
7085,609594
3433,257064
1605,110488
813,52503
5654,452926
