@relation ScaleImage

@attribute ImageWidth numeric
@attribute ImageHeight numeric
@attribute ScaleFactor numeric
@attribute runtime numeric

@data
5627,2410,2.472727,1636979897
1264,1522,1.418182,76784707
3009,2944,1.681818,510815285
3591,100,0.759091,3786434
5336,989,1.154545,137989123
1555,1700,2.868182,427721630
4464,278,1.813636,75694380
5627,1166,1.945455,478607493
3591,633,0.890909,38472670
3009,1166,1.154545,91962377
682,3655,0.495455,11191460
3300,1166,0.495455,17407174
1555,1877,1.418182,118178335
1845,100,0.890909,3587502
682,1877,0.759091,13536527
3300,1877,0.363636,14928713
973,3655,1.55,167695689
391,2588,1.813636,65637978
5336,2055,1.418182,426586483
391,811,2.472727,37184348
4755,3299,2.340909,1698232109
4173,455,1.418182,78613133
2136,3299,1.286364,231316358
2136,2233,0.759091,52350255
2427,2410,0.363636,16614363
682,3121,0.627273,17418125
100,100,1.022727,251959
5918,1344,0.627273,63902556
5627,100,2.868182,93622937
5627,811,0.1,1109899
2427,1166,1.022727,71098842
682,100,2.340909,7363250
5627,2944,2.340909,1772603956
1555,2944,0.1,1260463
1264,2766,0.231818,3663506
1264,811,1.286364,33145322
1555,989,1.945455,110422077
973,989,0.627273,8021721
3009,811,1.813636,158723260
682,2588,2.472727,210389786
4755,3121,0.759091,195671823
2718,3121,1.681818,473524787
100,633,1.286364,1958051
5627,3299,1.55,887997981
2136,3477,0.1,1657268
1264,1344,2.472727,211544272
4755,3121,2.340909,1599120701
5627,455,0.890909,38330020
2718,1166,0.495455,14093377
3591,1166,2.209091,401941759
3009,1877,2.077273,481027900
2136,989,0.231818,2468014
100,3477,0.363636,994052
2427,3655,2.604545,1182377854
2427,455,1.813636,71043933
4173,989,1.022727,85087612
5627,3832,2.077273,1862625408
5918,633,1.945455,277181445
1264,2055,0.759091,30580806
3009,455,1.022727,29228255
100,1877,1.418182,6922163
2718,1166,2.209091,302396994
3882,989,1.022727,78093432
2427,3299,0.627273,62591675
4173,3477,1.681818,794499399
1555,2588,0.363636,9913336
2718,1877,0.1,1198577
391,3832,2.868182,241580279
2718,2055,0.759091,65652889
2427,2233,0.759091,63174272
3300,1877,0.231818,6260174
391,3121,2.209091,117232449
973,3655,1.681818,196308845
4464,1522,1.945455,524527651
1555,3655,0.890909,87696291
973,3121,0.363636,8246352
5336,2410,0.759091,146609656
4755,2766,2.472727,1562273388
3300,1522,1.813636,324838945
391,455,1.55,7906160
4464,989,1.55,214570924
2136,2233,2.472727,565926195
1555,100,1.55,7663228
1845,278,0.759091,5496481
5627,455,1.55,121981996
4464,2766,1.154545,316650921
973,1166,0.759091,14560234
5045,1877,0.627273,70222322
5918,100,0.890909,8414696
1845,2055,0.759091,39417344
5336,2944,1.022727,345319820
4755,278,2.472727,160956417
3591,2766,1.022727,241617736
5627,3477,0.627273,157115566
2427,1166,1.418182,108753152
682,811,0.495455,2507028
2136,3121,0.495455,34239501
2136,2055,1.286364,153822685
1845,100,1.286364,6096153
100,278,2.077273,3229887
3009,2055,0.1,1475656
4173,989,2.209091,402774672
4464,3832,0.627273,129117174
682,100,1.945455,7151731
100,3299,2.868182,52884502
3591,989,1.154545,94070523
3009,278,1.55,42608639
2718,989,0.890909,46015124
2427,1166,2.472727,333648081
3591,1166,2.472727,522637882
5918,2410,2.209091,1396932841
100,1166,2.209091,11231749
3882,1700,0.759091,75058513
973,1522,1.286364,46505732
2718,2944,0.231818,8257586
1845,1877,0.627273,25154139
5627,989,1.55,262180426
4173,3655,2.340909,1632568365
3009,2410,1.681818,411966228
2718,989,0.231818,3530187
682,2233,1.681818,83452356
3882,1522,1.418182,239008582
3591,2588,0.1,3289241
391,633,0.231818,305401
5918,1700,0.363636,26600612
3009,2766,2.209091,823811946
5045,989,1.154545,128910461
973,2055,0.627273,17293148
4755,633,1.945455,226008998
1555,455,0.627273,6144973
391,633,2.736364,35890061
1264,3655,0.1,1043181
4755,2410,1.022727,268926844
4755,989,0.495455,23595573
3300,3121,0.231818,10045531
5627,1522,0.890909,133574765
1845,1877,2.209091,322647671
1845,1344,2.340909,279595323
1264,811,2.868182,170164980
5336,1166,1.813636,407744856
1845,2588,1.945455,383844602
100,2588,1.681818,13304938
973,989,2.077273,80882934
4464,3121,1.55,632835470
4755,278,1.55,59655952
3591,3299,1.418182,464553516
682,1344,0.759091,10391428
682,3121,2.604545,293447555
2427,633,1.681818,82817748
2136,3299,1.154545,186779999
3009,2766,0.890909,126876482
973,1700,0.1,692875
4173,2588,2.736364,1583445871
3300,455,0.231818,1543050
3591,3121,0.890909,173950011
5045,633,0.231818,3162904
973,278,2.472727,34493167
5045,633,2.604545,423227641
973,100,2.209091,9465638
3300,2233,0.627273,54795521
391,1166,2.077273,38439248
391,3655,1.945455,104424173
1555,989,1.286364,48303131
2427,1700,1.813636,270921958
2427,2410,0.890909,109492091
3009,3477,0.1,2102618
3009,2944,1.418182,346684972
1845,455,1.681818,50300246
2427,989,1.418182,99032675
2136,455,2.472727,116124786
5045,3299,1.55,785919265
682,2055,0.1,418941
5627,455,2.077273,213203612
100,2233,1.154545,5487002
2427,3832,0.231818,11569455
5627,1522,2.209091,828551020
2718,2766,2.604545,1025471021
2718,3121,0.759091,95845605
3591,455,2.472727,195024110
2427,1700,2.209091,396366887
5045,2233,2.472727,1326604316
5336,2055,2.604545,1456920344
4173,2588,0.890909,161796292
973,811,1.022727,17474087
5336,633,0.1,755579
5627,1522,2.340909,930616780
391,1166,1.154545,12433751
391,989,2.472727,47205390
4173,2766,1.681818,696549141
4464,100,0.890909,6353818
5336,455,2.868182,385465453
5627,3299,2.868182,3002834069
2427,1166,2.868182,450423902
3300,3832,1.418182,494766733
100,2944,1.286364,11041171
3591,3477,2.472727,1486494719
2718,1700,1.286364,159621737
682,3477,1.945455,171198459
100,3477,1.945455,23999175
2427,2410,1.945455,428893071
4755,1166,1.418182,239216970
1845,989,2.340909,189596493
3009,3477,1.154545,293186758
1264,1344,1.022727,36513069
391,455,0.890909,2539702
1555,2766,1.55,202589727
1845,3477,0.627273,57401262
3009,100,1.154545,8056329
4464,455,2.736364,297424790
2718,3477,2.209091,910784836
5627,1877,2.736364,1529370396
3300,1877,1.286364,212156424
973,3477,0.363636,8329532
4173,811,1.286364,120287862
2718,278,1.418182,28761301
682,3121,2.340909,242230274
1264,2410,1.681818,165348491
3882,2233,1.813636,553616026
3009,3299,1.286364,340211668
2136,2055,1.681818,241428280
2718,2944,0.495455,38209024
2136,3832,1.681818,480162236
3591,633,1.813636,146333677
4464,455,1.418182,80937800
1555,2233,1.286364,111126032
1264,811,0.495455,6790799
1845,2766,1.154545,139221366
100,1344,1.286364,5320739
100,2766,1.813636,19069597
2427,989,2.736364,355506046
4755,2588,2.340909,1327913716
1555,3477,2.736364,793269218
1555,100,1.154545,3718884
4755,3299,0.231818,15444241
4173,3832,1.813636,1033725868
2136,3655,0.890909,121959759
3882,1877,0.495455,34838905
1555,633,0.890909,15615952
4755,989,0.890909,69834530
3009,989,0.759091,37832770
5336,2588,2.340909,1519942745
5918,2410,2.340909,1605095177
3009,278,0.890909,12848539
4464,3832,2.868182,3018180662
391,3121,1.286364,40412035
100,2944,0.231818,388522
1845,1166,1.418182,91586892
1555,1166,2.472727,215894749
3009,989,1.154545,75580234
4755,2766,2.209091,1308169826
1845,2944,1.55,263104414
2136,1166,1.154545,65415937
5045,633,2.209091,302826228
5627,2410,0.495455,64970091
2427,2944,1.945455,515614975
682,1700,2.077273,96179610
4464,3655,1.154545,444039501
3591,2766,0.495455,48025395
391,1700,2.472727,73381165
5045,2410,2.736364,1792069143
973,3299,1.681818,184832228
3591,3832,2.340909,1465693028
5336,1700,1.55,426266308
5336,2410,0.363636,33366837
100,3299,1.55,14524871
2136,3832,0.759091,95260352
682,2766,2.340909,196513924
2136,455,1.154545,28147942
4755,1344,2.340909,689394571
5918,2410,0.890909,224123377
4173,3655,0.759091,169589245
4464,1700,1.418182,303261159
682,811,0.363636,1453203
5918,278,2.209091,152490418
2136,989,0.495455,9366329
3882,278,0.890909,16627105
2718,3121,2.736364,1248178967
5336,3655,0.759091,227602765
3591,3477,0.231818,12168211
1845,2055,0.1,853492
973,1877,1.55,85501052
682,2233,2.209091,152110837
2136,2588,2.604545,710726559
4173,633,0.759091,28245466
1264,2766,2.736364,516573905
5045,811,2.077273,353559922
1264,1522,2.868182,310316348
100,811,1.022727,1564664
391,455,1.418182,6373357
5627,1877,1.55,480943153
3882,1166,1.681818,259001704
1264,3121,2.868182,661522762
391,1344,1.418182,21493226
5045,811,0.231818,4036918
3009,811,0.1,599065
5918,1522,0.759091,101055158
