@relation Fibonacci

@attribute FibonacciNumber numeric
@attribute ComputationMode numeric
@attribute runtime numeric

@data
38,1,380
15,2,4130
20,2,41741
24,1,244
24,1,128
22,0,170
14,1,257
19,2,25842
27,1,214
34,0,205
17,1,266
25,0,170
4,1,243
16,0,129
28,2,2063795
38,1,1593
12,1,284
32,1,184
1,1,73
7,0,276
23,1,312
29,1,208
5,2,247
3,0,106
27,2,1245013
16,1,845
24,1,124
2,0,153
27,1,175
39,1,202
21,1,282
37,0,311
34,0,195
1,1,57
17,2,10138
9,1,323
38,2,274987317
11,1,3801
8,0,729
30,0,177
32,1,508
25,2,598091
19,0,293
35,1,1834
28,1,271
20,0,163
27,2,1473124
3,1,5209
31,0,496
27,0,211
16,1,2073
27,2,1499069
22,0,255
8,1,2307
33,1,519
33,1,126
27,1,271
40,0,223
13,1,236
23,2,176347
22,0,171
11,2,663
7,2,173
5,1,286
5,1,125
17,1,184
31,2,8776246
23,2,176382
20,1,2845
34,0,439
35,1,505
11,1,770
24,1,229
7,2,241
4,0,98
21,2,67398
24,1,137
16,2,6147
1,1,89
6,2,159
19,1,309
17,1,139
18,1,138
39,0,248
2,2,108
1,1,74
30,1,193
22,2,109042
24,1,124
4,1,226
36,0,217
14,1,276
24,0,156
27,0,176
8,1,187
29,1,658
23,1,202
8,0,96
18,1,120
7,2,183
21,0,148
2,2,89
30,2,5227231
13,1,663
24,1,129
5,1,126
21,1,185
5,1,121
27,2,1381176
37,1,2886
14,1,440
24,1,164
19,0,369
23,1,165
26,2,885233
37,2,161335236
3,0,736
34,2,42945118
37,1,5973
37,2,166554078
3,1,4121
2,1,490
27,1,424
17,1,250
32,1,367
25,1,187
27,2,1244718
19,1,660
16,1,185
33,1,125
29,1,265
38,0,479
30,1,206
26,1,124
34,1,273
4,2,157
19,0,139
14,1,811
33,0,212
18,0,117
19,1,408
36,1,248
13,2,1629
38,1,255
28,1,121
15,2,3848
34,1,122
9,1,189
3,0,92
11,0,112
2,0,99
22,1,278
26,1,137
15,0,139
19,0,143
23,2,176349
28,2,1954140
11,1,197
38,1,135
36,0,219
2,1,278
28,2,2028365
6,0,109
1,1,134
12,1,576
25,2,596887
28,1,16408
1,1,280
14,1,707
39,0,1098
26,2,1658957
32,1,1337
6,1,207
26,1,127
11,1,173
14,2,2513
6,1,120
9,1,137
37,1,119
20,1,120
14,1,252
37,1,127
6,0,183
1,0,79
3,0,93
21,1,132
8,1,133
30,1,113
34,1,115
33,1,120
23,2,176387
13,1,247
8,1,127
36,1,125
3,2,114
34,0,227
39,1,123
11,1,126
34,2,37948275
35,2,61696973
7,1,3890
38,0,546
8,2,441
7,1,161
16,2,6194
22,1,387
26,1,245
17,1,164
39,1,348
21,1,120
10,1,314
39,0,240
16,1,187
22,2,128037
7,0,102
26,1,415
18,2,17235
37,1,176
18,2,25307
2,2,107
21,2,67428
12,1,405
3,0,101
39,2,450274405
10,1,3976
30,1,701
11,0,367
7,0,77
5,2,220
30,0,175
37,1,385
6,1,269
22,1,344
35,0,211
3,2,136
39,1,237
24,0,144
21,0,140
30,1,122
31,1,195
13,1,289
5,1,207
38,1,426
8,1,185
33,1,186
11,2,714
3,1,345
32,2,14745398
25,1,3952
35,2,66108838
12,0,468
20,0,149
26,2,805449
21,1,3161
6,2,215
32,1,391
11,2,708
23,0,176
31,2,8918992
9,1,6038
17,2,10181
35,1,466
2,1,437
32,1,291
27,0,697
35,0,13402
8,1,413
12,1,232
1,1,76
13,0,109
30,1,249
18,0,152
27,1,303
9,0,95
15,1,282
15,0,111
6,2,201
22,2,109126
34,2,39598622
26,0,1259
13,1,8885
26,1,532
28,0,248
30,1,777
28,0,176
14,1,173
12,2,1598
30,2,5519264
21,0,311
40,0,225
2,1,1306
2,0,84
15,2,4177
28,1,337
30,1,160
19,1,387
36,0,233
38,1,287
21,1,201
20,2,44966
21,1,251
1,2,91
37,1,2857
17,1,1333
3,1,181
40,2,734278393
6,2,372
6,0,400
22,1,3756
1,2,83
13,1,729
8,1,382
9,1,209
34,1,299
4,2,173
12,1,131
39,2,444596501
27,2,1288489
20,2,41706
16,2,6151
33,1,3862
35,1,352
