ImageWidth,ImageHeight,WantedImageWidth,WantedImageHeight,runtime
2660,2837,3300,100,4881
3300,882,5220,2837,4716
5220,3619,2660,491,4798
1380,2055,2660,2837,5421
740,2055,740,1664,5020
2660,1664,100,3619,4830
3940,2837,740,491,5229
5860,2446,2660,100,5008
1380,882,1380,100,4340
5860,2837,740,1664,5069
1380,3228,4580,3619,5525
2660,1273,2020,100,4905
4580,2055,740,491,7941
740,3619,2660,2837,4884
5220,2837,740,100,4869
1380,2446,3940,2055,4679
4580,882,3940,3228,4569
5220,2837,100,100,6673
2660,2837,2020,491,5266
1380,491,740,491,4355
3940,2446,3300,3619,4763
3940,491,2020,1273,5237
2020,2837,3300,3228,5030
3940,2055,100,2446,5053
3300,882,5220,2446,6613
3300,2446,3300,2055,4634
2020,2837,4580,2837,5115
740,882,2020,1273,4966
2020,3228,5220,1664,5793
1380,2446,2020,1664,4864
3300,3619,2660,491,5600
2020,1664,4580,882,4822
5860,3228,740,3619,4759
5860,3228,2660,1273,5220
4580,2446,3300,100,4985
740,1273,740,3228,5334
3300,2055,1380,1273,5489
100,491,100,3619,4408
740,100,5220,2055,4200
100,1273,4580,2055,4308
100,2837,5860,2446,4345
2660,3619,2660,1664,4651
1380,2446,1380,1273,5712
3940,1664,3940,100,5000
4580,1664,3940,491,5178
2020,2837,3300,1273,4740
2020,3228,740,491,4941
5860,2055,3300,491,6800
2660,882,740,1664,7441
5860,2055,3940,3619,5149
1380,2446,100,2055,4863
2020,882,740,2446,4532
3940,491,100,491,5090
2020,2055,3300,2837,4797
100,100,2020,2055,4000
1380,1664,100,2837,4612
3300,3228,5220,2055,5213
740,2055,4580,2837,4678
5220,3619,740,2446,5778
3940,3228,2660,491,6741
2660,2446,2660,3228,5164
740,491,3300,882,4622
5220,100,3940,100,4927
4580,2837,2660,2055,5298
100,3619,740,3619,5015
1380,2837,100,882,5078
740,3228,5860,2446,6631
2660,1273,3940,100,6557
3300,2055,3300,3619,4541
5220,2446,3300,882,5647
5860,3619,100,2837,4429
3300,3619,5220,1664,5604
100,3228,3940,100,4471
1380,491,1380,100,5172
3300,3619,2020,100,4791
4580,3228,3300,2837,5117
3940,2446,2660,100,7241
2020,1273,5220,3619,5237
5860,882,100,2055,4812
5860,2446,2020,100,5664
5860,1273,5220,3619,4614
2660,882,740,3619,5082
5220,491,2020,1664,4875
100,882,100,491,5965
5220,2055,2020,100,4946
740,2446,100,2055,4425
100,1664,100,1273,3948
740,2055,3300,1664,4504
2020,2055,2660,882,4828
5220,100,5860,2837,4176
5860,3228,2020,1273,5388
2020,2837,740,3228,4434
2660,491,3940,100,5143
1380,100,2020,2837,3919
740,2446,3940,491,4476
1380,3228,5220,1273,5650
2660,2055,3940,2446,4808
4580,3619,5220,491,4915
2020,2055,1380,3228,5173
3300,1664,3300,1664,4906
2660,882,2020,491,4881
100,1664,5220,1273,4336
2020,882,1380,3228,5113
100,2446,5860,1664,6744
3940,100,2020,100,4414
740,882,1380,2837,6204
5220,1664,2660,1273,7540
3300,1273,5220,3228,4466
1380,3619,3300,2446,15358
3300,2837,2020,100,4323
100,2837,5860,3619,7538
3300,1664,740,3619,4875
1380,1664,2660,100,5074
1380,2055,740,1273,5178
5860,100,5860,2837,5315
5860,491,5860,100,5331
2660,2837,100,3228,5389
2660,3619,2020,3619,4730
740,3619,2660,2446,4790
3300,1273,2020,1664,4237
4580,2446,1380,2055,5506
3940,100,2660,3228,4829
1380,3619,3300,100,7910
5220,882,2660,1664,4688
4580,1664,5220,3228,5853
5860,2837,4580,882,4672
1380,491,3940,491,4558
740,100,2020,2837,4511
3940,3228,3940,1273,4589
5220,491,3300,3228,5329
5860,2837,3940,491,5588
740,1664,5860,3619,5179
2660,100,3940,882,5723
3940,1664,4580,2055,4935
2020,882,100,3228,5617
1380,491,5860,2446,6192
5860,3228,3940,3619,5220
2660,491,5860,3619,4662
3940,2446,740,491,4589
740,100,2020,882,3879
4580,2446,3300,2837,6060
2020,882,5220,491,4339
5220,2446,1380,491,5392
1380,3228,2660,882,4909
4580,491,1380,100,5073
2020,3619,5220,3619,5411
3300,3228,4580,491,4614
3300,2055,4580,1664,5425
3300,491,1380,3228,4701
4580,2837,1380,1273,4787
3300,882,2660,1273,4644
100,491,740,100,5627
2020,100,2660,1664,4408
3940,2837,100,2837,5228
5220,3619,4580,491,5145
5860,2837,5860,2055,4824
4580,100,5220,2837,4216
100,3619,4580,491,4779
5220,3228,5860,2055,5396
3300,3619,2020,2446,5093
4580,2837,5860,1273,5207
1380,1664,740,2837,4861
2020,1664,2020,491,5171
3940,2446,2660,882,4509
2020,1664,100,3619,5051
100,2055,5220,2446,4481
2020,882,5220,2446,4665
1380,3619,5220,2446,4677
5860,2837,5220,1273,5469
3940,1664,740,1273,4820
3300,3619,5220,2837,4801
5860,3619,5860,1664,5451
5220,1273,740,3619,4394
5860,1664,2020,882,5196
100,882,2020,1273,4119
1380,1273,5220,3619,4784
100,882,3300,1664,4336
4580,491,740,3619,5692
3940,882,4580,2446,4567
4580,2055,740,3228,5508
2020,1273,1380,491,4817
2020,3619,3940,3228,4822
5860,3619,5220,882,4655
4580,2837,100,100,4846
3300,2446,1380,3619,5353
5220,1273,100,491,4854
740,1273,4580,2837,4968
3940,3228,4580,3619,4658
100,2837,5860,100,4177
100,3619,5220,2837,5022
4580,3228,2020,100,4531
740,3228,2660,3228,4348
1380,1273,1380,2055,5520
740,3619,5860,2837,4568
3300,491,3940,2055,4550
1380,3619,1380,100,4843
100,491,740,2055,4505
4580,3228,4580,1664,5356
5220,100,3300,3619,4456
5220,2055,100,882,4614
1380,2055,2660,1273,5064
1380,2055,1380,2837,4760
5860,1273,3940,1273,5167
3300,3228,5860,2837,5329
740,491,2020,2446,4588
3940,3619,100,882,5202
100,1664,3300,882,4482
100,1273,4580,100,4261
3940,3619,5860,3228,5095
100,1664,2660,2055,4090
2660,100,2660,882,3971
3300,2446,5220,3619,5452
5860,2055,740,100,4879
5860,1664,5220,1664,5188
4580,491,3300,2446,4795
740,3228,1380,2055,4547
3300,2055,2020,2837,4717
740,3228,2660,2837,6537
3940,3619,4580,2055,5291
5860,100,1380,1664,4342
5860,1664,1380,1273,4412
1380,1273,3300,1273,5016
3300,2055,5220,2446,5356
3300,1273,2660,1664,5075
5860,3619,740,882,5154
740,882,1380,491,4848
5220,2446,5220,2055,4561
100,491,3300,2837,4599
3940,882,100,882,4955
3300,2446,4580,2055,4781
2660,1664,4580,3619,7291
4580,3228,5860,2055,5555
3940,3619,100,3228,6030
740,1664,2660,2446,4938
4580,3228,3940,100,5564
740,3228,2020,882,4611
2020,1273,3300,3228,4739
100,3228,5220,2055,4615
3300,100,2020,3228,4433
2660,491,1380,2446,4719
100,882,5860,3619,3919
3940,3228,5220,3619,4725
2660,882,4580,3228,5011
3940,1664,5220,1273,5022
5220,2055,4580,2446,4535
2660,491,3940,2446,5376
5860,3619,3940,100,4704
100,1664,5860,3228,4415
5220,3619,2660,1273,4761
100,1664,100,491,4709
3940,3228,1380,2055,5136
1380,2055,740,491,7540
4580,491,1380,3228,6222
5860,1664,3300,3228,4782
5220,1664,100,100,4711
1380,491,4580,2837,4634
3940,1273,100,2446,5163
3940,100,4580,2446,4197
3940,100,2660,2837,4234
100,491,4580,2055,4229
2020,3619,740,1664,5015
4580,2446,5220,882,4966
2660,1273,740,3619,4791
1380,3619,2020,1273,4657
5860,3619,3300,3619,5047
5220,2446,5220,3228,5689
1380,2055,740,882,5337
3300,2446,4580,3619,5180
5860,1664,5860,491,4884
5860,1664,100,3619,5088
2020,491,5860,491,5031
4580,100,3940,1273,4218
1380,491,740,882,5088
3940,3619,5220,491,5220
740,2446,5860,882,4541
