n,m,runtime
2,1,79
3,2,1491
3,3,6746
1,1,59
0,1,44
3,3,6886
0,0,64
1,2,70
2,3,243
3,3,7175
0,0,59
1,3,104
2,1,126
2,1,112
1,1,86
0,2,57
0,1,67
1,1,90
1,1,123
2,3,242
2,2,155
1,1,82
1,1,83
1,0,90
2,1,110
1,1,71
2,1,112
2,2,119
0,0,60
1,2,198
2,1,124
2,1,127
1,0,67
3,0,156
3,2,1913
2,1,99
1,2,66
2,1,98
2,3,254
2,0,101
2,1,117
3,3,7415
2,3,197
0,2,73
1,2,68
3,1,291
3,1,344
0,0,59
3,2,4327
3,3,6631
2,2,104
1,0,67
1,1,66
2,2,154
2,1,120
0,0,64
0,2,65
2,0,83
3,2,1478
0,1,63
3,0,108
2,2,138
3,2,1308
2,1,91
3,3,6624
2,0,71
2,2,135
2,3,160
2,3,362
3,2,1571
0,2,61
3,2,1559
1,2,86
2,2,143
3,3,7318
2,2,125
1,1,79
1,1,75
2,1,139
2,2,136
3,2,1546
1,0,74
3,3,7584
2,2,125
3,2,1249
1,1,86
2,3,188
2,0,81
2,2,192
2,3,189
1,2,88
3,1,387
0,0,71
0,3,62
3,0,128
1,2,68
0,0,50
1,2,61
3,3,6997
2,3,206
1,1,86
3,1,421
0,0,71
1,0,81
2,1,138
1,0,79
0,1,66
2,1,97
0,2,60
0,2,64
0,2,60
3,0,156
1,2,95
3,2,1659
2,2,151
1,2,86
2,2,143
2,1,121
2,0,128
3,2,1864
2,3,221
3,0,136
3,2,1492
1,0,83
2,1,185
3,2,1422
1,1,92
0,3,79
2,0,126
0,1,61
2,0,87
2,1,108
0,1,73
3,1,475
3,2,1894
0,1,64
2,2,165
0,1,68
1,2,116
0,2,64
0,0,62
2,0,78
0,1,66
2,2,155
2,2,157
2,0,88
3,2,1502
1,0,77
2,2,203
2,2,153
0,2,60
1,1,88
1,1,73
1,0,80
1,2,106
1,0,76
2,2,163
0,1,70
0,2,67
3,2,1780
2,2,141
2,0,98
2,1,119
2,1,132
1,3,106
1,2,82
3,3,7358
0,2,61
1,1,115
2,2,166
0,1,62
2,3,208
3,1,407
0,2,61
1,0,80
3,0,143
3,2,1666
2,1,121
2,2,203
0,3,71
3,3,7874
0,2,67
1,1,86
1,0,75
1,0,73
1,0,68
2,3,211
1,1,99
3,1,453
1,2,79
3,0,131
1,3,90
2,2,120
1,1,73
0,1,53
2,2,127
1,2,68
2,1,94
3,3,6358
0,1,54
1,0,71
0,1,55
2,1,106
1,1,61
2,1,91
2,0,69
3,2,1369
2,2,119
2,3,327
2,1,104
1,2,879
2,2,189
2,1,122
2,0,92
0,0,59
1,2,78
2,2,143
1,1,84
3,0,160
1,3,112
3,2,1784
1,0,91
3,0,130
1,3,68
2,0,91
2,1,130
0,3,62
2,1,103
3,3,6971
2,3,181
0,1,58
3,3,7549
0,1,53
2,2,139
1,3,105
1,2,82
2,2,141
0,3,58
2,2,173
3,1,371
1,1,93
2,2,125
3,3,7946
3,1,353
2,1,82
3,2,1343
2,1,88
3,0,145
0,1,61
1,2,119
2,1,104
0,2,57
2,2,130
3,2,1499
0,1,56
2,2,135
2,2,144
3,2,1606
0,0,62
3,2,1564
1,2,92
1,0,86
2,0,109
2,1,103
2,0,83
2,2,180
2,0,84
1,1,84
0,1,55
1,1,103
3,2,1415
0,2,64
3,0,125
2,1,104
2,1,110
1,0,80
0,0,59
3,3,7356
3,1,478
2,1,102
3,0,146
0,1,68
1,2,88
2,3,215
1,3,90
1,1,65
2,3,213
2,2,149
1,0,84
1,2,109
0,1,61
1,0,66
1,1,74
1,2,74
1,1,82
0,3,58
1,2,96
1,1,75
2,2,198
0,1,63
1,3,108
2,2,172
2,0,102
2,0,86
1,1,75
0,3,47
2,1,133
2,0,86
2,3,267
2,1,107
1,3,85
1,1,70
1,3,95
1,3,82
2,0,71
3,0,108
3,1,347
0,3,53
3,1,357
2,3,195
1,1,86
2,2,156
2,2,125
2,0,80
2,1,88
2,2,121
2,2,128
0,2,60
3,2,1430
2,0,93
1,1,81
1,2,92
1,1,61
1,2,65
2,1,104
1,1,78
2,1,106
3,3,7104
2,1,152
0,1,61
1,3,98
2,2,130
3,2,1485
0,1,55
2,2,131
2,2,143
3,2,1388
2,0,78
1,1,115
2,0,75
0,2,53
2,1,114
1,3,82
3,2,1392
3,1,389
2,1,103
1,2,82
2,2,149
2,1,153
0,2,59
2,1,104
2,0,80
3,2,1663
1,1,75
2,2,175
0,1,64
2,2,152
3,3,7974
1,2,144
0,2,78
2,2,127
2,3,222
3,2,1564
0,0,62
2,2,139
2,2,125
2,3,154
2,2,135
2,3,225
1,1,81
3,0,135
1,2,91
2,0,92
1,3,106
1,0,78
1,0,68
0,1,60
2,1,102
2,1,177
2,0,70
1,2,87
2,2,155
1,1,74
3,0,99
1,2,79
1,2,75
1,1,69
2,0,65
2,2,188
1,2,91
1,2,83
1,3,117
2,2,130
2,0,73
1,1,72
3,2,1741
0,2,64
2,1,103
0,1,69
0,3,56
2,1,150
2,1,112
0,2,61
1,3,92
1,3,81
1,2,75
3,2,1623
1,2,91
3,1,448
2,2,141
2,0,91
1,2,80
0,2,55
0,0,59
0,3,62
0,1,50
3,1,351
1,2,64
2,1,136
1,1,91
1,3,91
0,3,58
1,1,95
0,2,60
1,1,66
2,0,59
3,3,7801
3,3,8044
1,2,118
2,2,165
1,0,80
2,3,214
2,1,145
1,2,71
0,2,57
1,0,68
3,1,334
1,1,64
0,1,71
1,1,99
1,3,104
3,1,394
2,3,202
2,2,111
2,2,121
1,1,83
3,3,7987
1,1,57
1,1,107
1,2,91
2,2,178
3,0,146
1,0,68
0,1,60
3,2,1805
3,2,1736
1,2,102
3,0,114
0,1,55
1,1,102
2,2,147
0,2,60
1,0,69
1,0,72
3,2,1788
1,2,100
3,1,408
1,0,64
2,3,238
0,2,52
1,2,103
2,2,266
3,0,146
0,1,63
0,1,71
2,2,152
0,0,50
2,1,104
2,2,197
0,1,51
1,1,67
3,2,1606
2,3,234
2,3,216
0,1,59
3,2,1379
2,2,151
1,1,88
3,1,421
2,2,128
2,1,128
1,1,83
3,1,361
1,3,109
1,0,73
2,3,195
2,1,114
0,1,60
2,2,191
1,1,92
0,0,56
2,2,108
3,2,1492
0,1,60
1,2,85
1,3,89
0,1,62
1,2,71
0,2,72
2,1,141
0,3,60
2,3,206
3,2,1591
3,1,429
0,1,64
2,2,181
0,1,64
1,1,85
1,0,107
2,2,184
2,1,121
1,2,100
0,1,66
1,3,105
1,3,80
2,0,94
3,1,422
1,2,72
0,1,65
2,3,223
3,3,7441
1,2,82
1,1,82
1,3,96
2,1,108
2,1,110
2,1,119
1,1,70
3,1,504
1,1,68
1,1,81
0,1,59
1,2,81
1,0,73
0,1,60
2,2,162
3,2,1503
2,0,70
1,0,101
3,1,428
1,1,83
1,3,116
0,2,65
1,2,62
2,3,217
3,0,133
0,0,68
3,0,116
2,0,90
2,2,143
1,3,114
0,2,60
3,1,384
2,2,123
1,2,78
2,1,97
3,0,136
0,1,60
0,3,59
3,0,149
0,1,49
2,3,191
3,0,99
3,1,360
0,1,54
0,0,59
2,2,157
1,0,68
2,2,196
0,1,66
2,1,111
1,1,99
1,2,90
2,2,138
2,1,107
3,2,1444
2,2,136
2,2,107
1,1,104
0,3,68
0,3,58
2,1,114
2,0,110
2,2,162
1,2,83
1,1,49
2,2,132
3,2,1727
0,1,67
1,0,81
0,1,59
0,3,60
0,2,63
2,3,203
1,2,92
0,0,59
1,3,101
3,1,400
0,3,102
1,2,91
3,1,364
3,1,340
2,1,100
3,1,343
1,2,72
2,2,127
2,2,133
0,0,64
1,1,110
3,2,1444
1,2,74
3,2,1360
2,3,307
1,1,92
1,1,85
0,0,61
2,2,143
1,0,72
3,2,1670
0,3,60
1,2,98
2,0,80
1,3,88
1,2,70
1,2,71
1,1,75
2,1,120
1,1,83
2,1,134
1,3,91
2,1,108
2,2,118
0,1,64
2,2,140
2,3,194
2,2,143
2,0,97
2,3,190
2,2,186
2,2,152
2,0,90
1,1,100
0,2,63
1,1,80
2,2,112
2,2,119
1,2,73
3,1,367
3,2,1804
2,1,107
3,1,373
1,1,82
3,3,7999
2,1,110
1,1,81
1,3,103
2,2,163
2,1,117
0,2,68
2,3,241
3,0,133
1,2,101
1,3,109
1,1,67
2,2,152
1,1,83
3,0,108
2,0,118
3,3,7999
1,1,79
2,2,134
0,1,57
1,1,87
2,0,102
3,1,386
1,1,68
3,1,374
1,3,105
2,3,235
0,1,59
0,0,59
1,0,71
1,0,72
1,1,104
1,1,86
2,3,194
0,3,61
0,2,63
1,1,131
2,3,204
1,0,73
3,1,364
3,0,147
1,3,109
1,2,80
3,2,1781
1,0,62
2,2,168
0,3,64
1,2,96
3,2,1537
2,3,213
2,3,163
2,1,95
2,3,182
1,1,85
1,1,79
1,1,78
2,2,170
1,0,60
3,2,1540
1,3,128
3,0,142
2,0,121
3,3,6752
2,1,98
0,3,66
3,0,113
2,3,239
0,3,70
1,3,119
0,1,69
2,1,116
2,1,111
2,1,100
1,1,78
3,1,433
2,3,206
3,1,407
2,1,93
1,3,104
0,3,55
3,3,7121
1,0,59
1,1,93
1,3,85
1,2,70
1,2,65
2,1,156
1,1,83
0,1,59
3,3,7497
2,2,196
2,0,77
3,0,119
2,1,138
3,2,1747
0,0,71
0,2,60
0,2,60
2,2,178
3,0,144
0,2,65
0,0,60
2,1,107
1,2,96
3,2,1654
3,0,128
1,1,111
2,3,208
2,0,113
2,1,1156
3,1,768
2,2,266
0,3,69
1,2,104
2,3,356
2,1,147
0,1,88
0,3,67
1,2,154
2,2,203
1,3,128
2,1,116
3,3,7894
1,2,80
1,1,81
0,3,63
0,2,51
3,0,223
1,2,87
0,1,65
2,1,96
3,1,445
2,3,218
2,1,99
3,3,7625
0,1,77
2,2,254
1,3,89
3,0,159
3,1,457
1,0,106
2,2,168
0,0,64
1,3,110
0,2,67
2,1,127
0,0,65
1,3,123
0,1,64
2,2,164
0,2,62
0,0,64
3,1,394
2,1,117
0,0,57
3,3,7460
1,1,120
2,1,151
2,1,130
3,1,356
1,0,78
2,2,174
1,2,102
2,1,118
1,1,90
1,2,91
1,0,84
0,0,63
3,2,1755
1,0,72
3,0,141
1,1,89
1,3,123
2,1,108
2,3,269
1,2,95
2,0,124
2,2,167
3,3,7766
2,2,139
0,2,72
0,1,63
0,3,64
1,0,73
1,1,85
3,2,1593
1,2,118
0,3,64
3,0,149
2,3,264
0,0,74
2,3,222
3,3,7669
1,1,82
2,2,150
0,1,70
3,2,1700
2,0,112
2,3,203
2,0,105
0,0,69
2,2,145
1,2,111
2,2,167
0,2,68
0,2,61
3,2,1916
2,0,64
3,1,352
3,2,1252
0,2,57
0,0,56
3,0,105
3,1,300
2,2,129
2,2,124
3,3,6838
1,2,72
3,0,101
1,0,69
1,2,84
3,3,7384
0,2,53
3,2,1422
2,1,94
3,2,1301
1,2,101
1,2,79
1,1,98
1,2,80
1,1,79
1,1,81
1,1,65
2,2,163
1,2,81
2,3,237
2,2,219
2,1,118
2,3,216
2,3,222
0,0,71
1,1,91
1,1,69
0,0,59
3,2,1588
2,2,137
0,3,55
0,2,53
3,0,155
0,3,56
1,1,82
1,2,95
2,2,110
1,3,82
1,1,60
2,2,120
1,2,107
0,2,52
1,3,85
3,1,330
3,2,1436
1,1,77
0,2,66
1,2,82
2,2,150
1,3,75
1,3,133
0,1,64
1,2,60
0,1,48
1,2,64
3,1,375
1,3,77
3,2,1347
3,2,1205
0,2,56
2,3,218
2,3,188
1,1,76
0,1,57
2,1,102
0,2,51
1,3,85
2,2,130
2,1,107
0,1,62
0,2,63
2,2,181
1,1,84
3,0,117
0,0,62
2,1,127
1,1,69
0,1,62
2,2,147
1,1,59
2,2,161
1,1,74
2,2,119
0,1,60
0,0,60
2,0,82
0,2,56
1,1,71
2,2,133
2,3,207
0,0,299
1,2,87
3,2,1346
1,0,78
1,2,66
1,3,68
2,1,120
0,2,65
1,2,55
2,2,104
1,2,110
2,1,116
2,3,227
3,1,321
2,0,91
0,2,56
0,2,56
2,2,142
2,1,91
0,2,65
0,1,59
2,2,141
1,3,77
2,2,133
0,1,66
0,0,64
2,1,121
2,1,88
3,3,7020
1,1,84
3,1,422
3,0,116
3,2,1386
2,0,84
1,0,68
1,2,82
1,0,77
1,1,68
2,2,136
1,3,79
1,0,83
2,2,174
0,2,73
1,1,71
3,1,302
1,0,71
1,3,78
2,1,90
1,0,61
2,1,100
2,0,173
1,2,103
1,2,90
1,0,53
2,2,153
1,2,80
2,2,156
2,2,137
2,1,97
2,1,88
2,2,193
2,1,107
1,2,111
1,3,86
2,0,102
3,3,7556
1,2,89
1,2,69
1,1,99
1,1,75
0,0,65
1,1,102
0,3,70
2,1,97
1,2,94
2,2,148
2,2,153
2,1,93
1,3,88
1,2,73
2,1,174
2,3,222
2,2,139
1,1,82
0,3,62
3,3,7431
2,1,106
3,1,353
2,3,181
2,2,144
0,1,66
3,2,1734
0,1,74
2,3,209
3,3,7615
3,0,184
2,2,145
1,0,74
1,2,95
2,3,166
2,0,135
3,2,1502
2,0,96
3,1,436
1,0,87
1,3,101
0,1,76
1,0,66
1,2,92
2,1,94
1,2,132
1,1,92
0,1,64
1,0,75
1,0,67
0,3,59
1,1,78
3,1,429
0,1,70
0,0,65
3,1,499
1,1,81
1,3,127
2,3,222
1,0,74
1,1,100
1,1,77
0,0,65
2,1,106
2,2,110
1,1,113
0,1,66
2,2,140
2,2,142
3,3,8198
3,0,152
2,2,170
2,1,118
1,1,100
1,0,73
3,1,497
2,2,153
0,3,60
1,2,95
2,2,156
2,2,174
2,3,174
3,0,151
2,1,111
2,2,152
2,2,207
1,2,98
3,2,1533
3,2,1548
1,3,99
2,1,121
1,1,81
2,0,83
1,0,62
1,1,67
2,3,231
1,1,86
0,0,81
1,2,96
2,1,116
1,1,87
0,1,67
3,2,1652
1,1,94
2,0,87
2,2,194
1,2,81
2,0,83
3,0,127
1,1,88
0,1,67
0,1,56
2,0,94
1,1,71
1,1,75
2,0,120
2,2,134
1,2,84
2,1,113
1,0,60
1,0,71
1,2,84
2,1,95
1,1,77
3,3,7328
2,1,152
3,2,1782
0,1,58
2,0,85
1,1,58
3,0,137
3,0,126
0,1,63
1,2,89
0,2,60
3,1,422
3,2,1514
1,0,74
1,3,98
2,1,108
2,2,147
0,1,66
1,2,71
3,1,475
3,2,1425
2,1,138
2,3,223
1,1,85
1,2,119
2,1,107
2,2,142
0,1,67
1,0,82
2,1,113
1,2,87
1,0,89
2,2,160
2,3,221
3,1,411
2,3,213
1,0,78
0,0,65
0,1,66
0,3,58
1,2,81
1,3,147
0,1,71
3,1,382
0,0,54
0,2,72
1,0,76
2,3,217
1,2,84
2,2,162
1,2,71
2,2,190
2,1,119
2,0,106
2,2,148
1,2,91
2,2,159
3,1,440
0,1,78
3,2,1605
3,2,1357
2,1,139
2,2,127
1,3,98
3,0,129
1,1,84
3,2,1597
1,1,90
1,1,73
3,1,458
2,1,101
2,3,269
2,2,140
1,2,91
1,1,74
2,2,288
3,2,1534
1,0,83
1,1,59
2,1,87
2,0,84
0,0,68
2,1,116
2,1,96
2,0,77
2,0,80
0,2,63
1,2,71
1,2,96
1,1,77
2,1,118
1,2,128
3,3,8411
0,0,74
2,3,192
1,0,79
1,2,94
1,1,76
1,1,61
2,2,171
3,0,141
0,1,68
3,0,145
3,1,378
2,1,101
1,3,108
0,3,63
1,3,99
1,2,95
1,2,94
1,1,77
2,1,128
1,2,94
1,1,74
2,3,216
3,1,406
0,0,65
1,0,70
3,2,1665
1,0,85
1,0,55
0,2,65
2,2,189
1,0,79
2,1,119
1,1,95
0,1,64
1,2,79
1,2,95
2,0,90
1,0,79
0,1,148
3,3,8437
1,2,85
0,3,63
2,1,101
1,1,79
2,1,107
0,2,65
0,1,66
1,0,68
3,2,1957
0,1,64
0,1,64
3,1,389
1,0,78
1,1,76
0,1,64
2,3,229
3,0,135
2,3,185
1,2,133
2,3,321
1,2,66
1,1,78
2,2,147
0,1,63
0,1,63
2,3,143
1,1,86
3,1,418
1,1,95
1,2,95
1,0,80
2,3,239
0,1,63
1,0,71
0,1,68
1,1,88
2,0,82
1,1,79
0,1,57
1,0,75
2,2,177
1,3,98
1,2,86
2,2,146
3,2,1686
1,1,66
2,0,67
3,1,351
0,0,78
3,1,379
3,1,317
0,2,58
1,0,62
3,2,1284
2,0,88
1,3,115
2,2,119
0,2,68
2,1,154
2,1,119
0,2,63
0,1,54
1,3,87
2,2,135
2,2,114
1,0,62
2,1,119
2,1,103
3,3,7982
2,3,200
1,2,86
2,2,136
2,1,116
1,1,82
1,2,84
1,1,68
3,3,7586
1,2,82
2,1,146
1,2,103
1,2,80
0,2,67
2,2,170
0,2,70
2,1,110
0,1,65
2,1,110
2,3,237
0,2,70
1,1,97
3,2,1752
1,3,103
2,2,133
1,2,83
2,1,105
2,1,122
3,3,7713
1,0,70
3,3,7999
1,2,72
3,0,148
1,2,79
1,1,107
2,2,118
3,3,8165
0,0,62
1,1,90
1,1,71
1,1,117
2,3,243
2,2,163
2,1,121
2,2,148
3,2,1684
0,1,65
2,2,148
3,1,410
3,1,410
0,2,285
2,1,144
1,0,72
1,3,106
1,1,93
2,1,128
1,1,83
1,2,83
1,0,74
2,2,141
2,2,173
1,1,83
1,2,103
2,3,188
1,0,73
2,0,102
0,2,69
1,1,87
3,2,1518
3,2,1492
3,1,435
1,1,78
1,2,88
3,0,159
1,1,77
1,0,69
0,2,72
0,1,66
2,1,115
2,1,109
1,2,113
0,2,75
2,1,108
2,1,101
1,2,96
1,3,100
3,1,410
1,1,72
0,1,67
3,2,1659
3,2,1863
2,2,155
3,1,341
2,1,121
1,2,98
1,0,84
2,1,118
3,1,391
2,2,153
2,2,167
2,2,199
0,2,65
2,1,100
2,3,243
1,2,102
0,1,62
1,1,72
0,1,57
0,2,67
1,1,76
2,2,174
2,1,113
1,0,74
1,1,84
0,2,53
1,0,72
2,0,97
2,2,200
0,3,71
0,2,66
1,1,117
1,2,108
1,2,91
1,1,79
2,1,143
2,1,116
2,0,96
1,2,83
1,1,67
1,2,67
3,0,171
0,0,70
3,3,8400
2,1,118
2,2,182
3,3,7470
0,1,55
3,1,316
2,3,155
3,2,1296
2,1,199
1,2,68
2,0,80
3,2,180910
2,1,130
0,2,61
3,2,1487
2,0,102
1,2,102
3,0,128
2,0,120
3,1,430
1,0,59
3,2,1572
1,0,62
2,1,119
1,1,85
1,0,66
1,3,116
0,1,58
1,2,109
1,1,69
3,2,1567
0,0,63
3,1,386
2,2,196
1,1,93
1,1,78
2,1,130
2,3,204
2,2,175
2,1,111
3,0,240
0,1,61
0,0,62
1,1,72
2,1,122
2,2,173
2,3,196
1,1,81
2,3,208
1,2,89
2,3,192
3,2,1514
1,2,87
0,2,64
1,2,108
1,0,68
0,2,61
2,3,208
1,1,88
3,0,131
1,2,84
2,3,194
3,2,1615
1,2,82
1,3,107
2,3,197
2,0,88
0,2,61
2,3,250
3,3,7480
2,1,109
2,2,147
2,2,139
0,0,59
3,2,1413
1,3,102
2,0,92
2,2,140
3,1,400
2,2,150
2,0,72
1,1,92
3,3,7379
3,1,349
0,1,63
0,0,62
2,1,125
2,3,201
3,1,446
1,2,99
2,2,153
3,0,133
1,3,104
2,1,122
2,1,98
1,1,94
2,2,148
1,3,100
2,1,142
1,1,68
1,2,95
1,2,95
1,2,82
2,2,172
0,1,68
1,3,115
3,1,410
2,3,175
2,0,112
1,3,98
3,2,1642
3,0,141
3,0,125
3,3,7604
2,2,152
3,2,1391
3,2,1399
2,3,184
1,2,126
1,2,77
1,3,90
3,2,1302
2,2,121
2,2,121
2,1,112
1,2,73
2,3,162
1,1,71
2,2,167
1,2,90
1,2,83
2,2,147
0,0,64
3,2,1583
2,2,115
1,2,82
1,2,75
2,0,95
0,2,64
3,3,7861
1,0,98
2,2,150
3,0,136
2,1,115
0,2,63
2,2,167
1,0,86
2,1,97
1,1,118
0,0,63
0,3,65
2,2,104
2,2,129
1,1,82
2,1,86
1,1,77
1,2,94
2,1,125
3,2,1567
1,2,83
3,2,1400
2,0,89
1,0,88
1,1,82
1,2,75
1,2,61
2,2,140
2,0,87
1,2,128
3,1,373
1,1,77
1,0,93
1,2,73
2,1,96
1,0,69
0,3,55
1,0,58
3,2,1410
2,3,251
2,1,120
3,0,139
1,2,83
2,1,115
0,1,59
1,0,68
2,1,110
2,0,100
1,2,72
0,2,64
3,2,1744
2,3,207
2,0,95
1,1,84
1,0,80
2,1,89
2,0,76
2,0,98
2,2,149
3,1,439
2,1,114
1,2,89
2,2,150
1,2,80
3,2,1569
1,2,72
2,2,149
3,1,375
3,1,304
3,1,533
1,0,67
0,2,71
2,1,128
3,3,8042
1,2,76
1,1,99
1,2,80
3,2,1457
0,3,65
2,1,144
2,1,117
3,2,1724
2,0,90
2,2,165
3,2,1726
2,2,157
1,2,81
0,2,57
1,1,89
0,2,65
2,0,125
2,2,137
2,3,201
2,2,155
3,2,1591
3,3,7292
1,1,92
0,3,66
2,3,198
3,1,485
3,1,368
0,1,65
2,2,140
1,1,79
0,1,65
3,2,1711
0,1,142
1,0,64
2,1,102
1,0,65
1,3,141
2,2,162
3,1,418
2,0,89
2,1,104
3,1,422
2,2,131
2,1,108
3,2,1581
3,3,7879
0,1,103
0,2,70
3,2,1793
0,2,75
1,1,75
2,0,86
0,0,53
1,3,111
1,1,80
1,2,109
2,1,140
3,2,1463
3,0,134
1,2,84
0,1,60
0,1,58
0,0,71
3,1,349
2,1,108
2,0,128
1,2,87
1,3,120
1,3,95
2,1,97
2,3,207
1,0,70
3,3,7428
0,2,60
3,3,6999
2,3,231
1,3,92
2,0,93
0,2,60
0,2,56
1,3,79
2,3,180
2,1,88
1,0,70
1,1,68
1,1,95
0,1,56
0,0,61
0,1,65
0,0,73
1,3,99
0,1,61
2,3,150
1,1,75
1,2,70
0,1,66
2,2,167
0,3,52
1,2,85
1,1,75
0,0,55
2,0,82
2,1,108
2,3,156
0,2,61
1,2,114
2,2,134
1,1,71
1,2,75
1,2,79
0,0,63
1,2,56
1,0,70
1,2,79
3,1,326
2,2,141
0,1,56
3,2,1362
2,0,80
3,2,1483
2,0,78
2,3,171
1,3,109
0,3,69
1,1,69
2,1,132
3,2,1507
1,0,66
2,3,201
0,3,64
3,1,356
1,3,95
2,3,163
2,1,96
2,3,209
1,3,112
3,1,327
2,2,149
1,0,72
1,2,68
3,0,116
3,1,349
2,0,75
1,3,86
1,1,80
1,0,65
1,3,122
3,3,7058
2,2,126
2,1,139
2,2,144
0,1,71
0,0,66
1,3,107
2,2,143
1,0,67
0,0,57
2,1,121
1,3,109
1,2,83
0,3,69
1,2,86
0,1,72
0,3,69
3,0,161
1,2,126
2,2,155
0,1,68
0,0,57
0,0,64
1,1,86
2,2,132
2,0,85
0,1,55
0,0,52
1,0,73
1,0,61
2,1,140
2,0,75
1,0,76
2,1,100
1,2,88
2,0,78
2,3,169
3,3,6830
1,2,131
0,1,77
2,0,87
1,1,68
2,3,193
2,3,170
2,2,120
2,2,125
1,1,79
2,2,136
1,2,102
2,2,141
1,2,80
2,1,125
1,1,64
2,1,91
3,1,386
0,3,62
3,1,403
1,1,78
0,1,59
2,3,207
2,2,139
1,3,96
2,2,132
0,0,67
1,2,66
1,2,89
2,2,115
0,0,55
0,2,53
2,2,156
2,2,139
2,3,176
0,2,55
2,1,100
1,3,88
1,0,152
1,0,68
2,2,135
2,2,176
0,2,75
1,1,88
1,2,87
3,2,1454
2,3,154
0,0,58
2,1,75
0,1,64
1,0,78
2,0,184
0,0,64
2,1,162
3,1,456
1,1,86
1,1,82
1,1,80
1,0,83
2,0,88
2,3,199
1,1,100
1,2,111
0,1,63
0,0,70
2,0,95
2,1,95
2,3,183
1,1,84
3,2,1457
0,2,63
2,1,227
2,1,114
1,2,84
1,0,85
0,1,57
1,0,68
1,2,80
2,1,105
2,1,100
2,2,143
2,2,173
1,1,90
2,1,107
1,2,92
2,1,124
2,1,120
1,3,97
2,2,139
3,2,1309
1,2,83
1,2,129
2,0,94
2,1,119
1,1,79
2,0,86
1,0,83
1,1,96
1,1,70
2,2,172
1,3,103
0,1,70
3,2,1635
2,3,202
3,1,373
3,0,112
3,3,7328
2,0,86
1,1,80
2,3,193
2,1,119
1,0,81
1,2,102
3,1,408
2,1,117
1,2,74
3,1,395
2,2,135
1,2,80
1,2,86
2,2,130
2,2,164
2,1,94
1,2,90
2,3,175
1,1,80
2,3,167
2,1,95
1,1,68
0,1,74
2,1,88
0,1,81
0,1,66
1,2,113
3,1,418
1,2,87
0,1,66
3,2,1584
2,0,88
1,0,80
1,2,75
0,1,79
2,2,155
3,1,392
1,2,94
1,3,120
1,1,160
3,1,419
0,2,68
1,0,75
3,3,7601
2,2,183
2,3,219
2,0,93
2,3,179
1,1,77
2,1,108
2,1,84
0,3,76
0,2,63
3,3,7455
1,3,123
2,1,115
2,0,67
1,2,73
0,2,57
1,1,80
1,0,85
3,0,134
1,3,75
2,1,109
1,1,120
0,2,71
0,0,59
3,0,146
1,3,88
3,0,94
1,1,74
0,3,66
1,2,80
3,2,1236
0,2,65
2,1,134
1,0,81
1,2,84
3,2,1499
1,3,91
2,2,118
1,1,89
1,2,73
2,1,99
1,1,90
2,2,133
2,1,90
2,2,152
1,1,72
2,3,212
2,2,143
2,1,84
2,3,185
1,1,74
3,1,498
0,0,71
2,1,99
2,1,79
1,2,91
2,0,95
3,3,7642
2,2,146
1,2,86
3,1,383
2,2,171
2,3,170
1,2,101
2,3,188
1,0,83
1,1,84
2,0,86
3,2,1671
1,1,80
3,1,371
2,2,171
0,3,65
0,0,66
1,3,109
2,1,98
1,0,63
2,1,115
0,0,76
1,0,78
2,2,141
1,0,80
3,2,1646
3,1,345
3,1,311
3,2,1390
0,2,72
1,1,101
1,1,79
2,1,119
0,1,64
2,2,164
2,1,103
2,2,150
2,1,85
0,2,62
1,2,82
1,1,79
1,0,79
2,1,107
2,2,161
0,1,88
0,0,59
2,0,146
1,2,80
3,3,8253
2,1,124
1,0,63
3,0,119
0,2,69
2,2,128
0,1,51
3,0,145
0,1,60
2,2,125
1,1,74
2,2,138
2,2,157
0,1,76
0,3,60
1,2,72
0,1,56
0,2,76
1,3,128
1,2,68
3,1,411
2,1,99
1,1,82
1,1,87
2,2,145
1,2,80
1,3,138
1,1,94
2,2,139
2,2,149
0,1,74
1,1,85
3,2,1445
1,1,73
1,3,81
0,0,60
2,2,337
0,0,67
2,0,117
2,3,233
1,2,100
0,1,68
1,2,84
0,3,70
2,3,216
2,2,155
1,2,110
2,1,108
2,0,95
1,0,71
0,2,61
2,0,87
2,2,127
2,2,125
1,1,89
2,0,84
2,2,168
0,3,56
1,3,107
1,3,101
2,2,144
0,2,73
3,0,144
1,3,93
3,1,444
1,2,91
2,2,182
1,0,86
2,1,118
2,1,119
3,2,1850
1,1,88
0,2,68
1,0,81
0,3,70
0,0,66
0,2,68
2,1,143
3,0,143
1,1,76
0,3,65
2,1,121
3,1,560
1,2,117
1,2,93
3,3,8296
0,1,71
1,0,84
3,1,482
1,3,115
1,2,84
0,2,60
1,2,81
2,0,97
2,2,165
3,0,139
3,2,1388
2,1,77
0,1,60
1,3,99
1,2,68
3,3,7532
0,0,55
2,2,141
0,1,56
1,0,69
0,3,101
2,3,321
2,2,171
3,0,155
2,2,167
3,1,426
1,0,75
1,2,92
0,1,64
1,0,78
1,1,159
0,1,68
0,0,65
1,1,97
0,1,69
2,1,179
3,1,425
3,3,7519
1,3,104
3,1,321
0,1,58
3,3,7180
0,3,72
0,2,74
2,0,128
0,3,59
2,3,219
2,1,124
1,2,99
2,2,179
1,3,160
2,1,119
0,1,72
2,3,163
1,2,99
2,2,148
2,3,317
3,3,7344
2,2,155
1,1,87
