n,m,runtime
1,2,75
2,2,152
1,2,82
2,2,139
0,2,74
3,2,1348
3,2,1513
1,2,68
0,1,124
0,0,58
1,2,85
1,1,84
1,0,78
0,3,65
1,1,85
0,3,63
1,2,78
2,1,124
1,0,125
2,1,108
1,2,86
0,1,79
2,3,222
1,2,66
1,0,59
2,3,183
0,1,57
0,1,63
1,1,199
2,2,150
1,1,75
0,0,80
2,1,112
2,1,104
0,1,59
2,2,123
0,2,58
3,0,112
2,3,259
2,0,112
2,0,81
3,3,7188
3,2,1473
0,2,69
1,1,84
1,0,78
1,1,77
3,1,357
1,3,160
2,3,197
1,1,97
3,1,421
2,1,106
0,2,79
1,2,91
3,2,1760
3,0,122
0,1,61
1,2,131
3,2,1521
0,2,66
1,3,86
0,3,67
2,2,154
0,2,62
2,1,115
1,2,83
2,0,97
1,2,133
2,1,129
0,1,66
0,3,59
1,1,98
1,2,79
0,3,64
2,1,124
2,3,209
2,0,90
2,1,161
1,3,99
2,2,131
1,2,64
2,2,119
1,3,84
2,2,109
1,2,66
2,1,96
2,2,117
2,2,221
1,0,79
2,3,177
0,0,61
2,1,102
1,2,85
1,2,90
1,0,75
1,0,58
1,0,59
0,2,117
2,1,131
2,1,115
3,2,1544
2,1,115
1,3,109
0,2,73
1,2,87
1,1,99
1,1,80
2,0,130
0,1,75
0,1,71
2,0,79
3,2,1398
1,0,53
2,2,156
2,1,108
1,3,87
2,2,123
3,1,508
0,1,76
1,0,69
0,1,72
1,2,98
2,1,124
1,3,107
1,1,104
1,0,72
1,1,95
1,1,122
2,3,225
1,2,79
3,1,371
2,0,83
3,2,1524
2,2,159
1,0,79
2,2,127
3,0,151
1,2,134
3,1,384
1,2,91
0,2,81
1,1,99
0,1,70
2,1,131
1,2,78
3,1,381
1,2,80
3,2,1923
0,1,65
1,1,95
1,1,104
0,3,64
2,1,115
3,1,381
2,0,124
3,2,1572
1,2,73
1,1,144
3,0,158
0,1,75
1,1,81
0,1,67
3,0,120
2,2,154
2,1,105
0,3,58
3,2,1589
1,2,139
0,2,82
2,1,140
0,3,64
2,2,161
1,1,100
2,2,133
2,2,154
2,1,104
0,2,63
2,2,234
1,2,82
3,1,421
2,1,104
3,1,407
0,2,73
2,2,143
1,1,88
2,2,148
1,2,95
3,1,478
0,2,68
0,2,53
0,2,64
1,1,84
0,1,64
0,1,73
2,2,257
3,2,1737
3,2,1651
2,1,207
2,2,150
2,1,115
0,1,76
2,2,159
1,2,94
0,2,63
1,0,93
2,1,122
2,0,91
0,1,113
1,2,102
0,1,71
1,2,89
1,1,102
1,2,91
0,2,60
3,0,133
2,2,231
1,1,85
0,2,103
3,1,389
1,2,98
0,1,67
1,3,107
2,1,122
3,0,171
0,2,63
1,0,81
2,1,122
3,3,8429
2,1,124
1,1,75
2,2,152
1,1,81
0,2,68
1,1,84
1,1,72
3,3,8151
1,0,79
3,1,547
1,1,89
1,2,105
2,1,131
0,2,65
1,1,58
1,0,91
2,2,171
0,2,71
1,1,94
0,0,139
0,3,65
2,1,172
0,0,69
2,1,122
2,2,168
2,1,106
1,3,122
1,1,89
1,1,67
3,2,1883
2,3,235
1,0,94
2,2,158
2,1,116
0,3,76
2,1,119
3,0,142
2,0,104
0,2,68
1,1,140
1,3,130
3,2,1532
0,1,77
2,1,119
2,0,89
0,2,61
1,3,100
0,2,72
1,0,78
3,1,443
1,1,100
2,3,264
3,0,108
1,3,87
2,0,110
2,1,149
1,2,97
2,1,141
2,2,173
2,2,222
1,2,81
2,0,107
3,3,7608
1,1,75
0,1,78
3,2,1785
1,0,95
0,2,76
3,1,431
2,2,183
2,0,110
3,0,137
2,0,76
2,2,166
0,3,65
2,2,160
1,2,87
2,1,134
0,0,66
1,2,115
2,1,140
2,1,113
2,1,115
1,3,101
3,2,1823
1,2,70
