StringLength,'SHA-Mode (0=SHA-1, 1= SHA-256, 2=SHA-512)',runtime
348,2,25894
7437,1,95380
7595,2,81328
7627,1,83498
5127,2,56630
9430,2,86897
949,1,18037
9209,2,109728
8291,1,92812
4937,2,57441
9810,0,74577
9810,1,156617
1677,0,29087
3386,1,60227
1677,1,37894
6709,2,107373
3038,1,57118
665,2,20387
8829,1,294300
3734,0,65398
7152,1,119136
9367,1,142170
7057,1,145379
190,1,17146
2468,1,50689
5095,0,67023
9335,1,262770
8861,2,138011
6930,1,225737
2785,2,67902
7278,0,88154
127,1,473844
981,0,89632
6424,1,215715
2658,0,49732
8608,0,93720
3703,2,73797
4873,1,88352
7310,0,128665
3703,1,81484
9177,1,154652
1614,2,61005
6487,2,109751
4494,1,145183
3703,0,167056
2690,1,218242
9335,0,125258
8766,1,4642913
8703,1,165415
8861,2,131815
3481,1,101387
5696,2,91808
5000,2,82975
2975,2,91753
4241,1,98311
3892,2,74695
7057,2,73765
9335,2,138400
7278,0,80382
8481,1,98205
1962,0,27645
4335,2,51144
1772,0,30047
8639,0,65253
3861,0,32096
6203,1,67974
4335,1,47790
9241,1,97363
1108,0,16378
3006,1,39920
1456,1,19308
9177,1,135183
1804,2,49866
8228,1,137713
5063,2,88174
6962,2,105332
7627,1,467848
6234,1,127607
3481,1,79861
6804,1,82292
285,1,9562
1614,0,24249
696,2,22861
3987,0,48013
411,1,12804
8323,0,66755
32,1,8454
5854,1,64789
9335,1,112518
2278,1,42030
1297,1,19912
4620,1,53391
9399,2,213613
4652,0,68772
2025,2,33667
8829,1,123801
5633,2,94690
949,1,20828
4589,1,55778
2595,0,43032
1551,1,26634
5601,1,135684
5981,1,117110
5759,1,106535
380,1,15435
5538,1,67892
8133,1,88802
3386,2,79862
3070,1,40783
6297,2,58863
7911,1,85058
6234,0,89461
3165,1,60572
9557,1,158893
2247,1,88267
8576,1,121189
1930,0,30220
222,1,8870
981,1,14972
2437,1,31723
2373,2,35087
4304,0,66399
3196,1,55855
5949,0,53041
7120,1,121547
9114,1,177730
3797,2,85281
190,0,20913
7753,0,60716
7089,1,78939
3291,1,38373
1994,0,30554
9430,1,100183
9905,1,101575
9209,0,245857
3291,2,86502
7057,1,119431
5348,1,105970
2816,1,53632
3101,1,68980
2057,1,64429
2532,1,71333
9367,1,161339
1867,1,61138
6519,2,132751
8766,2,127210
2215,1,78474
4082,1,96836
5253,1,90989
5949,1,103364
3829,0,97025
538,2,32175
4620,2,76474
5095,1,86296
791,1,22363
570,1,19154
5854,0,70308
