ArraySize,Key,runtime
62658,6013,1365
50000,66772,264
43671,99367,962
53481,62975,626
43671,63608,174
48101,90506,590
42722,95886,399
68354,17089,167
64557,89873,447
60443,31646,347
24684,83544,127
16139,72468,119
61709,9494,1452
74051,20886,6176
41139,68987,624
81329,38924,240
61392,46835,606
90190,21203,485
54114,75000,199
30380,94304,948
45886,50633,197
37025,56013,517
36709,46203,1347
949,89557,201
34810,24051,182
36392,99051,1227
56646,95253,902
88924,43038,2809
86076,81646,2892
91772,5380,4012
56013,57911,7641
2848,5063,221
57595,53481,697
81962,27848,1215
6646,32278,151
2215,79747,189
77532,51266,641
5380,33544,97
73418,65823,1803
77848,25949,1835
25633,46203,240
73101,6962,1121
64873,27215,345
96203,82911,2673
88608,2848,2208
49367,41139,467
69620,45886,779
84177,62342,1004
87342,9177,1668
72785,66139,776
75000,7911,536
26266,82911,260
98101,54114,798
46835,83861,1958
12975,52532,949
10443,34177,878
72785,94620,1185
36392,18671,326
45886,3797,683
64873,85759,1966
85759,20886,2148
57911,88608,358
39873,27848,880
32911,81013,155
63924,3481,1947
27848,8544,235
44937,70886,2360
72152,18671,2573
96835,84810,2594
16139,99684,1529
949,25633,339
2532,26899,380
3165,73418,356
21835,75949,803
34177,41456,3693
66772,95886,8145
11076,27532,584
70570,42722,2783
3165,81962,646
97468,45570,5474
57278,61709,937
72152,12975,1189
73418,36392,786
8228,40506,1896
94937,6329,9724
47152,38924,4047
28797,2848,2616
38608,93671,6062
47152,76899,4305
97785,20253,1804
32278,14873,1887
62025,60127,1757
60759,26899,4736
18354,55063,1491
97468,37975,1682
2215,57911,127
61392,93671,970
62975,54114,487
74684,13291,2850
68354,75633,2304
18354,78165,1046
43987,39873,3288
33861,99051,1605
22152,3165,690
92722,43354,4379
61076,84177,1979
92089,94620,747
76266,89241,3623
24684,59177,674
58544,68354,595
20253,18671,170
44937,85127,1810
28481,50949,1672
3797,72152,392
26582,98734,525
19304,46835,255
14873,8861,896
59177,97785,751
46519,61392,1247
15506,47785,139
73734,77215,2676
7278,49051,607
53481,24051,1602
56646,18354,3214
13291,37658,1172
2848,95570,422
37025,66456,1601
34494,41139,326
65823,26266,3691
89557,32911,1827
18038,62025,350
13608,25000,683
65190,38608,3195
65506,30380,3521
77848,6013,817
48101,77215,481
84810,65190,700
69304,87342,2646
85443,24367,1938
92089,62025,3555
25000,73734,942
35759,18354,3095
40823,28797,2322
61709,24367,3417
79430,17405,2439
31329,50633,1981
1266,31013,444
91456,25316,6394
46835,78797,987
39873,71203,513
28481,21203,458
91139,24367,1498
22468,35443,254
72468,35127,2375
82911,77848,3973
18671,66456,1385
68987,50633,1745
69937,98101,2912
62658,43038,1443
49051,90506,1116
23418,74051,900
36076,69304,1251
50633,59177,2214
31962,98101,2691
68671,66139,3066
26899,94620,2396
87658,21835,3053
14557,46835,682
45253,46203,1471
90823,6962,2959
32595,49684,373
5380,8228,228
50633,18987,832
45570,64557,1059
77215,14873,485
20570,27215,1416
6962,30063,659
70570,50316,1781
87342,91139,1812
52532,41139,2045
91772,22152,4219
633,96203,142
70570,92722,2295
35127,66139,3622
633,93038,240
96835,82278,2959
93987,15506,3110
36709,80696,1457
87658,44937,1318
26582,88924,136
38608,76582,235
69620,75949,1307
24367,75316,172
58861,54430,660
56646,18671,622
10127,58861,157
82595,32911,1754
76266,48418,1784
20570,84494,236
47152,30696,2425
45253,62975,1411
58228,22785,3842
93354,74367,3901
13608,9810,352
48101,43987,2988
34177,68671,3618
73734,22468,1360
46835,36392,278
87975,0,1570
55380,28481,768
31329,66772,410
3165,4747,331
53797,1899,265
70570,70570,811
32595,75316,171
13924,49367,148
13291,39873,489
92089,45886,2743
74051,92722,1508
10759,6646,204
20570,9177,199
77532,33228,1082
86709,8544,992
53481,86709,712
50633,76266,138
67722,8861,454
36076,31013,729
72468,33544,1155
2848,43671,174
4747,93671,218
82278,39873,735
64241,20570,1142
82911,83544,327
83228,15823,1288
35127,27848,177
82911,32595,356
48734,73734,1598
14873,48734,180
91772,88608,2203
39241,45570,806
49367,77215,201
81962,63291,823
35127,83544,372
67722,17405,883
77215,21835,912
55696,98734,597
49684,98101,477
23418,42722,316
64557,84494,323
68671,73734,2025
25000,63291,158
75000,71203,1171
27848,70570,422
96203,90823,647
69304,63608,1399
5380,73418,159
92089,90506,1750
18671,62342,721
18038,65190,879
50316,24367,552
96519,37025,1184
87658,81329,747
3165,43671,110
84177,87975,624
62342,81329,472
14873,99367,168
33861,88608,667
3481,82911,106
91456,50316,1156
91456,6013,725
49684,16772,1337
20570,68038,132
10759,27848,888
19937,82911,169
23418,55063,231
31646,31646,687
12975,59810,274
82595,86709,692
74684,52215,1041
6329,80380,151
31646,6013,168
6646,49367,106
5380,81962,107
55063,63608,1013
87658,32911,4161
92405,76899,1055
88291,96835,1557
88608,55063,483
93671,75000,1310
2532,16772,128
21835,78797,194
96203,49051,1538
89557,14873,1937
56013,89873,281
19304,49367,720
93987,46519,2050
98418,42722,2874
53797,37342,2991
73418,46203,2328
84810,32595,3213
63608,63291,1431
58544,35127,960
20253,91456,1013
12025,45570,634
1582,78165,342
38291,19937,1272
56962,7911,3760
43671,24367,4909
80696,94620,3925
47468,60759,3652
28797,78481,4287
44304,10759,2886
72468,30696,3784
36392,14873,2937
8861,11076,1154
25316,55063,1781
55380,92405,7829
78481,97152,3750
26266,67089,2477
84810,57278,2390
63291,63608,7351
30380,66456,2221
61076,61709,4158
53165,45886,3412
80380,37342,3218
99051,23734,2781
45570,38608,823
97785,66772,2314
86076,11709,3563
95886,79747,7239
75000,51899,2515
82911,15823,5512
74367,51266,2455
94304,48734,5477
71835,31962,3520
54114,81646,2192
33544,45570,1457
30696,55063,1510
49684,56962,2530
31013,8861,957
63924,48734,8326
65823,43354,1959
26266,45886,739
21203,10127,532
39557,73418,1158
83544,46203,3445
86709,25949,2987
49051,7595,882
50949,64873,6593
57278,48101,3067
39241,87342,1478
46203,28797,2334
17405,50949,820
26582,63291,843
50000,20253,2680
8228,69304,909
66139,48418,1119
51899,65506,1199
3481,49051,347
68671,29114,1521
61392,98101,2633
55696,83544,1627
2215,7595,269
23418,35443,778
54114,30063,2840
31646,68671,2187
68038,93987,2714
47152,17405,2992
72152,66772,5520
87658,42405,2161
62342,92722,2098
13924,48101,3286
97152,50949,2063
83544,95253,1784
92405,22468,1929
87975,16772,2241
85443,62975,4518
38924,90823,2929
89241,94620,4871
18354,64557,605
69620,51582,5874
25633,30696,1141
96203,44304,6281
37025,67089,2222
60759,6646,1071
73418,82278,1462
26899,62025,463
12342,12975,128
9810,74051,154
36709,99684,270
10127,4114,303
72785,52848,2719
30063,26266,1503
44304,48418,1370
50000,15823,3054
48101,60443,4703
30696,45886,1740
8861,34810,469
21835,41139,660
37975,47785,1390
39557,45886,952
94937,11076,4051
6646,49684,221
50316,46519,990
78165,80696,5713
49684,22152,3357
41772,67089,2348
77848,45253,2534
50949,82278,3316
94937,15506,5786
0,26899,340
83861,89873,2312
94304,51266,2075
12975,66772,173
22152,99051,310
69620,11709,2796
58228,95886,2026
60443,40506,2064
94304,77848,4251
65823,45570,4899
48101,89241,1115
21203,70570,359
65506,81013,1835
15506,22468,414
25633,54114,512
56013,85443,1002
96519,84177,2473
5696,86709,154
36076,41456,242
14557,72152,343
33228,21835,784
35443,949,876
18038,24367,120
28165,10759,1529
29747,43038,759
26582,15506,590
75949,43354,2143
949,98734,202
76899,73734,1600
33861,45886,927
45886,18038,919
1899,45886,233
2848,53165,254
77848,52532,2644
60443,40823,2384
7278,20570,1009
34177,43671,1871
4430,28481,350
83544,94620,1833
66456,85443,1632
66456,61076,1592
41456,40823,1295
97152,33861,2034
80380,49051,1872
949,4430,250
99684,94937,2147
6646,9494,625
316,43987,185
32278,30380,812
76266,37342,2141
29747,81013,1231
95570,93354,2756
89873,86709,2938
44937,90823,1873
89241,96203,3110
67089,30380,2018
47152,47785,1907
82911,83861,2435
316,6013,147
70570,9494,3167
66139,17722,3015
4747,72785,696
76899,44937,3242
84494,84494,3227
17405,18038,748
97468,3165,2591
14873,46203,701
4747,77215,352
80063,14241,2538
47468,67089,2778
42089,87025,944
28797,62025,890
24684,53797,1477
43354,94937,742
26899,41139,1727
16139,47468,485
78165,85127,1170
24684,62658,476
94937,27532,2690
92722,3481,2712
40823,50949,1378
94937,82911,2276
12658,91139,356
25949,86076,373
59810,72785,2112
33861,7911,446
17405,77848,782
93987,47468,2019
22468,40506,390
64873,949,1624
35443,52848,872
53797,81329,3295
36392,33861,1097
90823,77532,2877
68671,50949,2851
89557,93354,2578
75000,46203,1509
633,90190,119
58861,73101,1365
30380,22785,849
18354,93671,661
27215,60443,859
94937,89241,2671
55380,24684,755
35759,76582,1335
39241,68038,1708
40506,20253,923
34494,42405,672
73734,86709,1892
72468,51899,2408
25949,23734,1326
58861,52848,9801
53797,16772,6286
24684,64241,3072
46519,41456,3298
6646,74684,1922
36076,8861,3072
2848,52848,302
25633,32278,2766
83861,60759,3930
95886,45886,4645
61709,88924,4692
2215,93038,193
88924,92089,4223
87975,74684,1744
43038,63291,2682
92089,949,3029
74367,69620,1652
7595,73734,577
63291,59177,2577
42089,60127,4222
38608,65506,3929
54114,59810,2907
99051,99051,5844
18671,7595,1254
54430,39557,2677
23418,54747,698
77848,63291,6170
65823,23734,1602
9810,46835,601
38924,94937,2421
24684,75316,1010
30380,73734,670
50949,29747,1846
84810,13924,2452
75316,49051,2831
70253,86076,3469
70253,8544,6630
96203,87025,4473
18671,90190,1862
43671,9177,4436
79430,51899,8254
75000,58861,3218
34177,89873,2565
40506,1582,4390
50316,43671,2806
74051,63924,2871
73734,52215,3385
44937,29747,2693
48418,64557,2419
69620,24684,4353
43354,82595,1809
54747,93987,2089
31962,65506,5048
92722,82278,3194
74367,2215,3085
78797,5380,5975
29114,93354,237
96835,26899,2251
71519,53481,2990
77532,65190,1891
76582,61709,5130
96203,60127,5150
69620,10443,5496
86709,11076,2650
81013,94304,4624
26582,71203,781
60443,22468,1285
70886,29430,2564
93987,2215,2558
25633,50633,1389
15823,10127,713
29430,76582,783
97785,24367,2859
16772,37342,1654
35127,19937,2130
18671,37342,1671
48734,68038,6021
23734,71203,880
40190,95570,3375
72152,79114,5350
6329,40190,673
54430,92089,3893
23101,86076,753
92722,79747,2488
73734,62342,5603
14873,28165,806
78481,14241,1489
54430,3797,2224
49367,25949,2166
5380,49684,480
89873,59810,3028
93987,94620,6380
40823,36076,2405
18671,25949,835
94937,59177,5404
24684,99051,571
47468,28797,1410
49367,60127,3790
67089,34494,2476
79747,44937,2413
50633,97468,595
35759,60443,510
54114,57595,2377
53165,18671,1349
26582,69304,799
17722,316,966
65506,89873,1665
78797,30380,2889
38924,36392,1615
59810,43671,4274
54114,32911,1646
59177,34810,2034
26582,42089,979
68038,75316,3698
51582,15823,1411
63608,316,604
88291,34494,2326
10759,66772,277
74051,77532,864
90823,27532,429
66456,56646,822
72785,70886,1231
79747,33228,955
18038,0,1194
68671,42089,2870
95253,92405,1534
13924,41139,172
