ImageWidth,ImageHeight,Sigma,runtime
4464,100,1.409091,28548201
391,811,4.681818,31429951
5336,2588,6.318182,1823295649
3300,2410,5.909091,988804607
3300,633,5.5,291596803
4173,2055,4.272727,917491568
4464,2944,2.636364,1144614390
100,3477,1.409091,22946269
4755,3832,6.727273,2624877594
4755,278,9.181818,140356833
391,3121,8.772727,132918226
4755,2588,3.863636,1273574508
1264,2766,5.909091,423658274
3591,2766,2.227273,804064770
391,2055,1.818182,59355844
4755,1344,6.318182,795976214
1264,2233,3.863636,260340978
100,633,1.409091,5329180
3591,1700,9.181818,675386424
4464,3299,8.772727,1811801479
2718,811,9.590909,255300445
4173,1522,4.272727,626917271
3882,811,9.590909,379333464
4464,3121,2.636364,1249123611
5336,1166,4.681818,697500174
391,989,4.272727,43075132
5336,1700,1.409091,671224438
4755,2410,2.227273,946812012
391,2055,5.5,95788826
4173,633,3.863636,243867938
3882,811,2.636364,263287486
4173,2233,9.590909,1119697294
3591,3121,7.136364,1530221136
1264,2944,3.454545,356856962
5918,100,1.409091,33455988
3591,2055,5.090909,816781986
1555,1700,9.590909,291717591
4464,2233,4.272727,1060221314
100,3832,3.863636,47980936
3300,1344,4.681818,487943215
4464,3655,9.590909,1990676915
1845,1344,3.454545,294050835
2718,1700,7.954545,666187574
2427,633,3.454545,141769142
5627,455,3.863636,233384220
2136,1166,8.363636,372771488
3300,3121,2.227273,846538590
682,3477,5.909091,288241690
973,2766,2.227273,216645645
5336,1522,3.045455,761952943
3009,1344,3.045455,343249538
3591,455,6.727273,211655605
5627,3655,3.454545,2073880373
100,1700,8.363636,27185090
4173,1877,5.909091,936143651
5336,811,5.909091,536892955
682,1344,5.909091,102484096
391,2766,5.090909,116636949
4464,3121,2.227273,1179017892
2427,455,1.818182,78070663
1555,2233,1.409091,229974361
1555,2055,5.909091,443873902
5045,989,2.636364,435555594
100,3832,3.045455,32311096
682,811,6.318182,72290101
5627,2410,9.181818,1633228344
4173,989,9.181818,496073723
3009,811,6.318182,324963156
5045,100,5.5,61114906
100,3655,2.636364,42925792
1555,1344,9.590909,247906116
5045,2410,2.636364,1046790566
4755,2588,2.636364,1080586636
100,2410,9.181818,29085218
5045,2233,1.818182,952821371
5336,2055,3.045455,965701261
4464,1700,4.272727,799396815
5336,278,2.227273,105256407
3882,1344,5.090909,549001684
1555,100,8.772727,20342985
973,2944,1.409091,199461060
3591,1344,7.136364,647986878
1555,1877,4.272727,307071134
682,989,5.909091,79438006
2718,455,7.545455,172163774
1845,2588,1.409091,331582616
3882,2944,6.318182,1513018468
1264,2410,3.454545,274452266
2718,2055,7.136364,781553162
4755,3121,3.454545,1542546926
2136,1522,8.772727,373909713
100,3299,7.954545,54093700
1845,3832,5.090909,771058231
4755,455,4.272727,227228874
5918,2410,5.5,1783119547
5336,2588,4.272727,1482125208
5918,1344,4.272727,900334129
4173,633,1,175184125
5045,989,3.045455,430795558
1555,2410,8.363636,614288668
682,455,5.090909,34008386
682,3121,8.363636,328644019
1264,455,7.954545,87109638
1555,2944,5.5,511700133
2136,100,7.545455,31160039
2427,1700,8.772727,448977787
973,3832,5.090909,390144543
1264,2233,2.227273,221543794
4173,455,4.681818,201606239
3009,2410,7.545455,997152647
4173,2410,9.181818,1171629014
682,2410,3.045455,134069097
100,811,3.454545,9162094
3882,1344,1.818182,372405361
4173,2055,7.136364,1258090986
4173,3655,4.681818,1872339475
3009,1166,6.318182,482939958
3882,2588,2.227273,803691245
1845,100,3.454545,17269796
5627,2944,4.681818,1926619320
100,1877,5.5,24330718
391,989,6.318182,51423818
5918,278,2.636364,125612293
3591,1700,1.409091,433947609
100,2410,1.409091,14529645
2136,1877,2.636364,343315528
682,2055,9.181818,147888784
3591,2766,1,718533943
1555,2410,3.045455,336249028
4173,278,5.909091,135667096
391,2944,4.681818,142268844
3882,3121,7.136364,1698990898
1845,633,7.954545,193235572
5918,455,5.909091,329328612
682,3655,9.590909,275236532
4464,1700,8.363636,1195606423
3882,1877,7.136364,1045439068
2136,811,1.818182,121850289
3300,1700,4.681818,612215379
2136,989,2.227273,170381988
3300,2588,1.818182,633056380
1264,100,5.909091,16807425
4173,3477,7.136364,2109851754
5336,2233,6.727273,1612884165
5045,2410,5.909091,1665358420
3882,2410,3.863636,918013400
3009,2766,7.136364,1148566751
391,2588,2.227273,68246283
5918,1344,5.5,904062263
1264,1700,2.227273,166084418
5045,455,3.454545,212469561
1264,2588,3.863636,298935874
1555,2588,1,250297332
5336,3655,5.090909,2341315487
5336,2944,3.454545,1553722840
100,3121,2.636364,28665355
1845,1877,3.863636,351873694
5336,1522,6.727273,1078204123
2136,3299,9.590909,810229400
4464,3299,3.454545,1474547859
5336,811,5.090909,478636864
1555,455,1.409091,51638089
5045,3655,1,1498457968
682,1522,6.318182,123015297
3009,3477,5.909091,1321059147
3591,989,1,239521396
5045,811,7.545455,569174776
4755,3832,9.181818,2172519339
3009,1522,4.272727,474929483
682,2055,1.409091,88422855
5627,1522,3.045455,761414221
1264,1700,5.090909,265482304
682,1166,1.818182,58350773
2427,3121,8.772727,909204535
4173,989,2.227273,302987765
5627,3299,4.272727,2138531533
4464,633,2.636364,223363737
4173,2055,3.045455,824735086
1845,455,3.863636,118089182
682,3832,5.909091,303799775
391,1166,5.090909,45418644
1555,3477,2.227273,406699395
5336,1344,5.5,909825923
1264,2588,4.272727,318062438
5336,3832,3.045455,1950111636
2718,2410,6.318182,828193035
2136,1344,6.727273,427088422
3591,455,8.772727,210267993
682,2233,5.5,196883181
3882,100,9.181818,46922567
4755,2410,4.681818,1331019210
2136,811,5.909091,199714772
3882,1166,7.136364,626723058
4755,2233,6.318182,1373849602
3009,1344,5.090909,439754096
4173,1166,8.363636,700883718
4464,989,6.318182,585579292
2136,2233,5.090909,502124157
4464,100,7.954545,67036687
3882,1877,7.545455,998728408
5336,2944,8.363636,2372050856
2427,2944,4.681818,801769897
1845,3477,7.136364,881359081
3882,3299,3.045455,1173476341
3300,1166,3.454545,377082316
1845,1166,5.909091,287009449
2427,1344,2.636364,259391095
1264,3121,5.909091,501520049
2427,2944,6.727273,909175592
3009,3477,8.772727,1224008571
4464,3121,6.727273,1939078388
3882,1166,2.227273,333821007
973,1700,1.818182,112893433
5627,2944,8.363636,2723128992
4173,2233,2.636364,846984408
100,989,4.681818,12332020
2718,1344,1.409091,282643806
3009,3655,9.590909,1356112123
2136,3655,1,538927654
100,3299,5.090909,34964527
2427,2944,7.545455,1033654367
5045,2233,9.590909,1346874964
5627,3121,7.136364,2542633347
5336,1166,1.818182,524131094
3300,633,3.045455,177331776
4173,2944,2.227273,1051705327
4173,2944,3.045455,1134902437
100,1877,3.863636,24346212
973,278,8.363636,39764583
1264,100,6.318182,18116351
100,1166,4.272727,13238644
5627,2055,3.045455,1122797634
2136,455,5.090909,104057463
5627,2944,3.045455,1597924989
1845,1522,4.272727,286303156
4755,1522,1.409091,512045855
682,1877,6.727273,159411630
2427,278,2.636364,57498946
4755,455,2.227273,156399819
4464,3121,9.181818,1710308437
3882,2233,9.181818,1063610691
3882,278,7.136364,141697392
3300,3477,7.954545,1696108918
1845,455,1.818182,81275779
1555,100,2.227273,12491607
5045,278,8.772727,154144948
2427,1166,3.454545,262734193
5045,1344,8.363636,1041657020
2427,811,9.590909,238357712
3009,1700,2.227273,421283291
391,811,9.181818,42831849
5918,2588,5.090909,1772425335
2427,2588,7.136364,892184244
2136,2233,9.590909,549760143
100,2055,2.227273,16603085
1264,1166,5.909091,178989193
5627,989,7.545455,789694700
5918,989,5.090909,695345492
973,278,2.636364,21695103
2136,100,1.818182,14400028
2427,2055,3.045455,434811400
3300,633,1.409091,134374982
4464,2944,2.227273,1112274419
1264,3299,4.681818,419830999
1264,1700,9.181818,232143545
5045,989,8.363636,778323686
4173,2410,2.227273,818203590
2136,633,8.772727,153013983
5627,1344,5.090909,851333628
391,3121,4.272727,110438134
100,811,7.545455,13250128
100,1166,1,9039839
3882,455,4.272727,175993905
100,3299,6.727273,52703887
2427,1522,5.090909,437412592
1555,3655,5.090909,645011924
5045,989,5.090909,534639910
973,100,3.454545,10344915
3300,455,2.227273,109039499
5627,2766,1.409091,1146762322
5627,1344,4.272727,845234758
4464,633,1.409091,209867837
5918,633,5.5,492109378
4755,1877,9.181818,1040835209
973,1344,7.954545,235819210
5045,3655,8.772727,2224140082
5045,2944,1.409091,1259082539
2427,633,8.363636,227266906
2136,3655,1.818182,650373987
5336,3121,4.272727,1816629258
1845,455,3.045455,70980060
3300,2055,3.045455,585493203
3300,633,3.454545,196063328
4755,3655,9.590909,2069431212
5627,3299,8.772727,2269623625
391,2944,8.363636,163300326
4464,1877,7.545455,1157344757
1264,811,9.590909,114443232
5336,2055,7.545455,1572743769
3882,2944,1.409091,866171996
2427,3477,3.454545,832994820
391,3477,3.045455,107778381
3009,633,5.909091,233669027
973,633,7.136364,83809237
3009,100,6.318182,41147088
2136,1344,3.045455,251172629
4173,989,1,281855446
5918,455,4.272727,280718498
2136,3655,7.136364,1077496036
1264,2944,5.090909,397065282
973,3121,5.5,330225107
1264,2588,8.772727,413769371
5918,1700,4.272727,1043403548
1264,1700,9.590909,270033548
3009,989,7.545455,410139016
4755,2944,5.909091,1696293149
1555,2588,3.863636,383074087
3882,278,2.636364,91268613
1264,989,7.545455,173443227
4464,1877,4.272727,899768992
3009,633,6.727273,248073783
391,2410,4.681818,90346825
4173,2588,4.681818,1148129656
973,2410,3.045455,193610245
100,100,7.136364,3598340
5627,3655,4.681818,2385708298
3009,100,2.227273,29685088
100,2588,5.5,32908336
3882,3477,5.090909,1557059825
4464,1166,2.636364,429773001
5627,2588,1.818182,1168666118
5627,3299,7.136364,2736871121
682,1522,8.363636,175165887
4173,1344,2.227273,459300965
4173,3477,6.318182,2039786822
2427,278,3.045455,59548458
3300,1344,7.545455,642258008
3300,2055,8.363636,1040073460
1264,3477,8.363636,652412725
5918,1522,8.363636,1377092273
5627,811,3.454545,417669536
2136,2766,5.5,701357877
3591,2410,3.045455,775588420
4173,455,3.045455,168741229
5045,1344,3.863636,673237203
3882,278,3.454545,89509512
4464,3477,1,1113193614
682,3655,4.272727,236752433
2718,2588,4.681818,730762068
1845,1877,7.545455,512857760
5627,3832,4.681818,2482224528
2427,1344,1.409091,226995367
3300,100,1,19979524
4173,2588,1.409091,797223643
5627,3299,3.454545,1904665552
1845,1344,5.5,277238474
2136,2233,6.727273,676424597
100,1522,2.636364,15629925
391,1700,6.727273,83306670
1555,1700,1.818182,189857131
100,2055,7.136364,31818266
2718,811,3.454545,198072489
4173,1700,5.909091,848758671
1555,3121,1,313077283
3591,2410,8.772727,1032659253
3882,2588,2.636364,840777223
1845,1877,3.454545,327801405
5336,1344,7.545455,1030184850
1264,2055,1.818182,192006733
391,455,8.772727,20388769
4173,2588,1,766473705
4464,633,7.545455,384883603
2136,633,5.909091,157886386
4464,278,5.090909,192247377
1555,989,5.5,172088302
2136,811,9.590909,228014019
5627,455,2.227273,213221068
3009,633,5.090909,217819242
5918,1877,5.5,1359765695
4173,1700,9.181818,808035086
2427,1522,4.681818,397819270
3009,1344,5.909091,499734937
5627,1344,1,519916240
100,3299,2.227273,23727509
4464,1877,1.818182,618893743
973,100,1,8182601
100,2944,7.954545,44951513
3591,2588,3.045455,879500557
682,1700,1.818182,84594522
5627,2766,4.272727,1691426984
2427,3655,5.5,1009415622
2718,1522,4.681818,419507837
682,3655,3.863636,218733875
682,3655,4.681818,247083854
100,3655,3.045455,32680265
1264,811,7.545455,138564870
3009,2766,2.636364,680250142
4464,2233,5.5,1144896914
391,3832,5.090909,147148045
2136,2410,8.772727,606454635
5045,100,3.454545,55975728
4464,1166,3.454545,524416457
3009,811,5.090909,298493983
4173,1700,4.272727,745655386
3591,455,5.090909,172694094
2718,633,1,125073546
4464,3121,4.681818,1565252507
4173,455,1.818182,141412197
682,1700,2.227273,79024366
2136,3477,7.136364,1071343914
3882,633,2.636364,200782155
4173,989,7.954545,604089787
100,2410,8.363636,40891357
973,989,5.5,115016328
3591,3121,9.590909,1374806184
5336,2233,1.409091,911721640
973,1700,3.454545,188426010
4173,1344,7.954545,837289234
5336,1877,1,690653748
3009,2055,6.727273,784456587
5336,3121,5.090909,1920136319
1555,1166,4.681818,183756813
1845,3655,2.227273,501577400
5627,2944,3.863636,1683544139
4755,2410,5.909091,1458946287
100,3832,5.5,44098011
3300,2588,1.409091,596798265
3009,3832,8.772727,1422012006
3591,3121,2.227273,918319704
3300,2055,1,440995782
3009,989,8.772727,349401077
4173,2588,3.863636,1063746205
682,811,5.5,62831469
5336,989,2.636364,451331668
5045,989,2.227273,427822485
4755,2233,7.545455,1541652736
3591,3299,5.5,1586170979
4173,3832,9.181818,1880918587
1264,3655,7.545455,626752739
682,455,4.272727,30204157
4755,278,9.590909,146017127
5627,100,4.272727,56091012
4173,2588,4.272727,1103647335
3591,100,5.090909,40716104
2136,2766,7.136364,847091619
4464,989,5.5,525330736
1845,2588,5.5,549004303
1555,455,5.5,78860174
5045,3477,2.636364,1572796333
3300,1344,5.5,574019819
3882,3477,3.454545,1314546907
2718,3832,9.590909,1291227388
973,811,2.636364,69759615
3009,1522,5.090909,518924101
5918,1522,9.181818,1046650351
4755,3299,5.909091,2029343614
3009,989,3.863636,281215505
4173,3299,4.272727,1528317943
4464,2766,1.818182,1018549235
1555,278,5.5,47448324
391,3477,5.5,163151955
973,2766,9.181818,321414965
2136,2055,4.681818,504066837
5336,100,8.363636,88810197
2718,2766,6.318182,954024972
2136,2944,3.454545,608194821
1845,3121,1.818182,437404950
5627,2588,9.590909,1762193844
4173,2766,6.727273,1614485175
5336,455,1.818182,181482900
973,1700,6.318182,193828030
3009,811,1,159699812
1845,1166,7.136364,287151823
100,2944,4.681818,33031093
5336,3477,1.818182,1566937476
3591,1166,1.409091,281602765
100,633,6.727273,10462506
973,2588,2.636364,204715273
5045,1522,8.363636,1195972250
5627,2944,5.5,1977216274
4755,1344,7.954545,1008084917
5336,2233,2.636364,1026538317
1845,633,6.318182,142562705
100,455,8.772727,7695625
391,100,5.5,8766664
5627,2410,4.272727,1524888372
3591,989,5.909091,438492338
4755,3477,4.681818,1848691664
4173,633,5.909091,347417261
1845,811,2.227273,114791837
5627,3477,7.545455,2880876760
1845,3832,5.5,877937777
3591,1877,8.363636,1044211416
391,278,4.272727,15519038
973,1166,1.409091,74534023
3300,3477,1.818182,979641013
4464,2588,9.590909,1388712323
3009,3477,5.090909,1164705462
4755,100,5.090909,49420155
973,3832,6.318182,470677024
5918,455,1.409091,181421707
4464,1344,5.5,722694527
3300,989,5.909091,390130482
391,3121,5.909091,139635478
4173,3477,9.181818,1649787791
3300,1700,1,393573718
2718,2944,9.590909,989517243
1555,1166,6.318182,216704336
2427,3832,7.954545,1393747054
1264,3121,7.954545,577282882
5627,455,5.5,297977187
3300,633,2.227273,175794308
100,3299,3.863636,33112531
3300,2233,7.136364,1048741629
4464,989,7.954545,648670552
5627,3121,5.090909,2090136002
2718,2766,8.363636,1127403531
5045,2944,4.681818,1617798752
100,2233,7.545455,33444920
5045,1700,1.818182,705744928
682,2588,7.954545,265388203
4173,2944,3.863636,1300316816
3009,3121,4.681818,1027407344
973,2055,6.318182,239761176
1264,3832,4.272727,487149675
973,3121,3.045455,264759705
2136,1877,1.409091,272951723
4464,100,7.545455,62757604
682,1522,8.772727,132193868
5627,3832,3.863636,2270608264
1845,3121,9.181818,666021017
2136,2233,9.181818,580658275
2136,2944,6.727273,853709186
100,2944,3.863636,27272955
4464,100,1,24587654
1264,2233,4.681818,296633076
3882,2944,1,834174456
5045,1344,1.818182,542171574
3009,3477,4.681818,1126334923
391,2588,5.909091,137448930
973,100,1.409091,7561851
1845,3832,8.363636,1057357411
391,1344,7.954545,87724571
5627,100,3.045455,42858493
1845,989,5.5,247015453
4173,2233,1.409091,648144291
2136,1522,1.818182,229290243
100,2944,9.590909,35168240
3882,455,5.909091,205976031
682,3299,5.5,237259845
2136,3477,1,480989114
4173,3832,3.863636,1582403353
391,2233,8.363636,124514330
3591,1344,9.181818,547221146
5336,2233,8.772727,1436892916
1845,1877,6.318182,460780769
3591,1877,1,436426126
682,3299,5.090909,231913617
1845,1877,6.727273,444661795
5045,3477,3.454545,1770433883
2427,278,1,41314340
5045,1522,9.181818,848906413
